Geneid,SRX1392946,SRX1392947,SRX1392948,SRX1392949,SRX1392950,SRX1392951,SRX1392952,SRX1392953,SRX1392954,SRX1392955,SRX1392956,SRX1392957,SRX4340129,SRX4340130,SRX4340131,SRX4340132,SRX4340133,SRX4340134,SRX472912,SRX472917,SRX472922,SRX472931,SRX8537506,SRX8537507,SRX8537508,SRX8537509,SRX8537510,SRX8537511
STMUK_p021,10.541471408012049,9.422256671903549,9.629843951004922,10.369528484676497,10.463879699688253,9.675886901151783,10.707975137792365,10.798048019595528,8.116821133154371,7.773833265326232,8.59233871733076,8.326378046236483,11.534314820791623,11.54727845478219,11.57354039877662,11.525276365988555,11.418676043779085,11.410208107248867,10.535472695903886,10.363038541031775,11.548608820901888,10.255846085435046,8.770737652767181,9.143967471954573,8.632427362794127,8.728592701137869,8.868941415467418,9.031672279793096
STMUK_p022,6.597560680238541,6.920850111152375,7.427376926195491,6.954180854231924,6.466408567243568,6.860550789419845,5.297574275272963,5.968202708992896,5.046931666744378,4.796164970432376,6.522999396519161,6.923985275673219,5.7483866991817205,5.974050901293949,6.634764778344439,6.383575871939872,6.487179290768601,6.748558712617851,4.695270045137018,5.950151502359566,5.937675116204854,4.807319057120723,3.0469882211270356,2.7076113345328445,2.775538016066613,3.6321370866592133,3.3308377321517804,3.4826929369611386
STMUK_p023,7.184185111868682,6.732098561909764,7.238128422030353,7.365108934134811,7.157964763916762,6.830282161088244,7.612401471210009,7.775396669572275,4.836614128661686,4.7064900240321474,5.796702820988989,6.597200153309632,6.7898154919739016,6.672814879946057,6.449185899424404,6.697277631737354,6.774309828245888,6.942641610490689,4.629760936939391,6.238249387709644,3.8901940848748384,3.70996674663123,3.5530582174851717,3.632106846820332,3.6533993290432996,4.814934204710005,4.429215334425032,4.26908970800395
STMUK_p024,5.6936787710636585,4.774139320276915,4.583283911713039,5.24446231510869,5.347281724790509,5.360772089202027,4.4248924171076505,5.174250619202833,4.918349848660144,4.691220144149291,5.4175319264134005,6.235123221194242,4.826979639313151,5.0188572484546725,4.7488461422135675,4.791072345179956,5.19249243531,5.609798333302675,2.298094553036075,3.897686282771384,1.5308964780306291,1.439042399497371,3.680906248235603,3.2774162072151025,3.6019932388975766,3.9802406509976893,3.937608976208667,4.153741924897661
STMUK_p025,3.2532910906128634,1.1379368351685193,1.9121323319007615,1.162604114282832,0.9416293702973483,2.149598281424394,1.012577047440279,1.4446442422129668,3.3041888487872986,2.2405666778959312,1.9844620114682903,3.019512986770478,1.6579002073558333,1.312686636844795,2.3374585995123676,2.033397936197346,2.555098267254109,1.592867957364841,1.4941032865332204,3.1042092402202126,1.2664462886669854,0.5225455707009772,0.40522661221450795,0.23391963850639919,0.44820265828957156,1.1396322538050736,0.0,1.3238647857203751
STMUK_p026,8.655852143906925,9.295557179713839,9.239901232247801,9.04652544371857,8.695096038523706,8.880305371781917,8.137342608168671,8.542258497765193,8.678227866746921,8.689771642964788,9.513452415551571,9.865714425484775,8.186505850691228,8.184195878495172,8.26771330742711,8.152360797414191,8.157816042389262,8.128102066488067,8.141457185157801,7.644184634812343,7.492504348810727,5.907296440270696,9.046285110158554,8.956526376643245,9.146815698672631,9.342325487068264,9.171789481822533,9.193662386394182
STMUK_p027,7.604601357098184,6.669773766790538,6.958177371672332,7.2837675719173545,7.433959188741896,6.883550569530408,8.272265385256189,7.907905508458736,6.231521115702978,6.285966923051567,7.014470446028394,7.67720911969571,8.490842147665502,8.672243326266473,8.030790132381355,8.27321794809525,8.414131087019639,8.537472014635545,6.035565321924949,5.5722704758435935,7.033688815256252,5.940595471381091,7.029614442039359,6.995209115170586,7.06149813124055,6.616400759501862,7.3613268693434035,7.079070730268556
STMUK_p028,9.063149128219742,8.127245746174124,8.335106072653888,8.5329798278855,9.084546079750941,8.301260720827184,9.230993944094077,9.08612822587014,6.993803105378319,6.829602744921555,7.33249288290586,7.936814147918028,9.321920507616959,9.294682446881168,8.84408453332353,8.921352176312503,8.909129793396982,8.86484853612538,7.229417945912919,6.942957942212913,8.22454737108466,8.21275833811253,8.063515455039742,8.133387694013331,8.102815998728143,7.935470224495138,8.360516975156067,8.343570014343282
STMUK_p029,4.7201025464625115,4.035334455874644,4.35198011526353,4.371236728274146,4.051779213457787,4.566731827629192,3.6912278122069213,4.1701498335322125,4.120487106895265,4.00451465741429,4.822893195870874,4.5906194570555785,3.718359603882766,3.9148168527730487,4.0783959260730365,4.126298173628393,4.220070658792881,4.505960255922727,3.008617848234035,3.686060110658122,3.57512976398975,4.39495149906905,3.8881738257908096,4.062692322508958,4.105363734288921,3.96886475793939,3.9687951434940887,4.307166206300936
STMUK_p030,5.0987188260656815,5.130639203054351,5.154222750370197,5.18696795912428,5.003579011902847,5.409923505470799,4.635743231239936,4.641595018515614,5.839868854407451,5.343529423603838,6.022560468296101,6.141809852245586,5.029491597509436,5.23693246787633,5.429133156160642,5.316977281743639,4.944143743067323,5.025319266106527,3.9112565600848557,4.011810487222158,4.224740570565533,4.591782486773302,4.843083684499019,5.067049928296718,4.986416512113919,5.3131413208200975,5.05911953882517,5.158653967754991
