Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
STM14_5540,0.012949486550853807,-0.004763926166098443,0.009513018766030905,0.00928799765278477,-0.006964125536903284,-0.019189192654129387,-0.007814209684219236,-0.003564777389980373,-0.007508968432131549,0.00012670803797271057,-0.0003789053033196019,0.0014340341077043201,-0.0018868783355482017,0.009308221270394143,-0.016707760311582248
STM14_5541,0.005221658167286548,-0.004605001321085363,-0.00261668252329474,0.01090316405497503,0.0003616211806849335,-0.013946180568741346,-0.002366069963647291,-0.004139114783060586,-0.00098027724022527,0.0016198616701756882,-0.006706676867482862,0.0006910591706535011,0.008383088476110545,0.0002702358916131563,-0.005842235480891347
STM14_5542,0.0011637221548790292,-0.0014505351144168154,-0.005772244984264008,0.00917931696818276,-0.00016902651993493497,-0.012383367425861587,0.0004505235106557933,-0.002209235976859498,-0.007592377595260032,-0.003146878604681337,-0.0034073322470692165,0.003019338696613957,0.008380958317236785,0.005128048439404789,-0.00841034499179214
STM14_5543,0.03292986522809896,-0.01260190695162545,-0.04451033917436963,0.03653058314832744,-0.006826842407668327,0.009557386989975783,0.0019157686085230973,-0.009194274033899193,-0.006831955732677295,-0.008867227071172318,0.00263062521666925,0.008831463288853198,-0.002952208195718099,0.006604234861789663,-0.024968696943721044
STM14_5544,-0.005444788313639455,0.005092930427943071,-0.02215843721675256,0.018629653955535085,-0.009245861177934493,-0.013325882207342038,0.00011914272739870261,-0.0026528821071806967,-0.016577634344997042,-0.006685927817880778,-0.006031571555790205,5.0352701829866956e-05,0.013217079750305265,0.010576250114391821,-0.016519712867576544
STM14_5545,0.0012110146196074687,-4.162182613739874e-05,-0.0020947237371528524,0.004393756515944626,-0.006730052969215895,-0.007502747245338944,0.030227548524470006,-0.0017433933902711682,-0.002761850439418792,-0.003287279396012497,-0.0069605204914420515,-0.016340776842124115,-0.007351704160198449,-0.007136678415879987,-0.018607598374648128
STM14_5546,-0.013038114075320082,-0.0005371068898839847,0.012974237673493707,-0.016907327568315658,0.006446642090521322,-0.007274646610594467,-0.0016307921494629232,0.007000320530313344,-0.009323710360617998,-0.0070669620122265865,0.014603127459883894,0.016238628938012253,-0.01684928035582657,0.007551906774496613,-0.030408883525944782
STM14_5547,0.0006850542778767943,0.004698788878517416,0.024614404135780307,-0.003111231852951392,-0.0007175674331501133,0.012483198082732785,0.0023732508082409576,-0.014653174865757925,0.009633114601913966,0.005012080450832984,-0.00882293082944426,-0.004401677522410806,-0.013888694026443691,-0.02159109473096496,-0.014372802831227518
STM14_5548,-0.003267710385164042,0.0005317471598946644,0.03695737882049686,0.00667156575666188,-0.004894169302014059,-0.0058191454557895185,-0.0052480323691907445,-0.006532971978151331,-0.010916210851279471,0.005798604694895681,-0.004021846611306971,0.0003301385523045038,-0.017230431656373335,-0.006082219578160304,-0.028880449472311012
STM14_5549,-0.010580958097651862,0.0006201014084175879,-0.0029793123284772693,0.00582673526396355,-0.00858594218339269,-0.011116328420933541,0.0035149140348210667,-0.0017710971724936519,0.00044790504166799513,0.0013269619150025353,0.006579533978364554,-0.002595488566940934,-0.0008535657685207586,0.0013860756735649218,-0.025111526434269605
