Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed
SRX1639009	25416604	1054402	5233817	18633600	0	0	0	0	0	0	0	0	0	368422	119789	6574	4.148477113622262	25416604.0	6783004.0	26.69	18633600.0	73.31	SRX1639009_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25416604.0	0.0	20-100	40.0	18.70431558935922	82.43587971075915	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	25419613	21956588	25419613	2541961300	408355091	2110981555	16.954614729972484	0.465	0.4365	0.0984
SRX1639010	17181112	2289095	9939286	2902249	0	0	0	0	0	0	0	0	0	1731970	299108	19404	13.323322727888625	17181112.0	14278863.0	83.11	2902249.0	16.89	SRX1639010_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17181112.0	0.0	20-50	49.0	12.896468376132034	49.060705034691594	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	17183562	8689147	17183562	859178100	6362974	842951254	1.8886475341957625	0.4122	0.5012	0.0866
SRX1639011	17639441	2179317	9765264	3154332	0	0	0	0	0	0	0	0	0	2192770	329575	18183	12.35479627727432	17639441.0	14485109.0	82.12	3154332.0	17.88	SRX1639011_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17639441.0	0.0	20-50	50.0	12.7059509737397	49.00532250426757	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	17642127	8633464	17642127	882106350	7722059	864463672	2.0000624641235154	0.3227	0.598	0.0793
SRX1639012	27069823	942485	7650075	17807439	0	0	0	0	0	0	0	0	0	564128	103137	2559	3.481681428061055	27069823.0	9262384.0	34.22	17807439.0	65.78	SRX1639012_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27069823.0	0.0	20-100	44.0	13.425714924214144	86.10541864274471	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	27077547	21551527	27077547	2707754700	338909110	2346417868	13.344518689229863	0.5920000000000001	0.2819	0.1262
SRX1639013	22413979	915401	7003852	13992446	0	0	0	0	0	0	0	0	0	410008	90203	2069	4.084062896641422	22413979.0	8421533.0	37.57	13992446.0	62.43	SRX1639013_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22413979.0	0.0	20-100	43.0	15.548757720701914	86.6985235419378	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	22420402	17343968	22420402	2242040200	267693248	1956156280	12.751061287839534	0.5936	0.2869	0.1194
SRX1639014	31619805	1974777	9005475	19485218	0	0	0	0	0	0	0	0	0	881237	261815	11283	6.245380071129472	31619805.0	12134587.0	38.38	19485218.0	61.62	SRX1639014_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31619805.0	0.0	20-100	43.0	16.316079707659554	86.85545745775472	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass	31628307	24951663	31628307	3162830700	371534610	2765327481	12.567957526148966	0.5489999999999999	0.3517	0.0993
SRX1639015	24016303	1326956	6062062	15809368	0	0	0	0	0	0	0	0	0	632339	177830	7748	5.52523009057639	24016303.0	8206935.0	34.17	15809368.0	65.83	SRX1639015_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24016303.0	0.0	20-100	42.0	17.441049686814306	86.02366609048862	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	24022640	19477414	24022640	2402264000	301347803	2080740324	13.384194076920775	0.5005	0.4035	0.096
SRX1639016	28789296	1024542	5639558	21435732	0	0	0	0	0	0	0	0	0	552502	131104	5858	3.5587601725307914	28789296.0	7353564.0	25.54	21435732.0	74.46	SRX1639016_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28789296.0	0.0	20-100	42.0	15.22690187923246	85.40087072639776	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	28795848	24600332	28795848	2879584800	378293769	2475936042	14.017602746062558	0.5753	0.2962	0.1285
SRX334181	11788243	2488308	6399496	1017287	0	0	0	0	0	0	0	0	0	1581341	292412	9399	21.108387399207835	11788243.0	10770956.0	91.37	1017287.0	8.63	SRX334181_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11788243.0	0.0	20-50	50.0	14.333595756298351	49.23476993136297	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11789714	4855160	11789714	589485700	3142528	580412925	1.5391001003077769	0.5069	0.4033	0.0898
SRX334182	18190455	617195	21	3678268	0	0	0	0	0	0	0	0	0	13851407	42914	650	3.3929607588155437	18190455.0	14512187.0	79.78	3678268.0	20.22	SRX334182_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18190455.0	0.0	20-50	50.0	8.926852903246596	48.634786870366895	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	18206232	9324472	18206232	910311600	14439768	884950747	2.7859529637983305	0.2361	0.7222	0.0418
