Geneid,SRX1392948,SRX1392949,SRX1392950,SRX1392951,SRX1392954,SRX1392955,SRX4340129,SRX4340130,SRX4340131,SRX4340132,SRX4340133,SRX4340134,SRX8537506,SRX8537507,SRX8537508,SRX8537509,SRX8537510,SRX8537511
STMUK_2569,5.915242295508039,6.805137527751938,6.116900668030093,6.358928717146586,6.632446358827141,6.9154376164073526,6.537276171971273,6.6780973869922615,6.869037040926388,6.795674415374784,6.935406564366149,7.1503930753380525,7.932024790176588,7.876298882942442,7.72598653331916,9.938207699327858,7.817725282269549,7.873876360200169
STMUK_2570,6.96878884746122,7.5253329942787675,7.7532144545600765,7.223359072970432,8.151736360908684,8.078057653899842,8.29074322485005,7.9845245010563906,8.514434184292227,8.523337578718424,8.396809714154193,8.396918006279478,8.184320657059711,8.205258510242944,7.944680574102491,10.237854756550556,8.148170772790332,8.260227406094018
STMUK_2571,5.00670481652138,5.259569993303674,5.27152583282973,5.3168807475064295,6.090131589287643,6.3275833955789045,6.43002234056292,6.2803803055816445,6.810140085217418,6.695992824202308,6.563290802109004,6.786126222549785,7.737064684906082,7.6448998861052875,7.496473810733707,9.46312108568718,7.830778986535359,7.8081581313214175
STMUK_2572,5.403698209874804,5.722620177516909,5.709976354132937,5.6042640269830075,6.52578557364679,6.512754454461618,6.851414879966651,6.680468537814241,7.249961635914777,7.21936161236426,7.1141207136807445,7.412105571069661,8.652004469864693,8.309465629604063,8.231047115316741,9.871314933985232,8.714446762718831,8.483448357072097
STMUK_2573,8.424244185503557,8.576103992100368,8.382240077956915,8.306822121860005,9.571387893503386,9.488406515854727,9.241653576394055,8.90925777288004,9.258353877186154,9.241195954502556,9.038123450666673,9.137533303604767,8.916703677925518,8.986242621020319,8.936268136706511,10.743916069027796,9.10499167442846,8.991263611551455
STMUK_2574,8.77372627652428,8.907891151382882,8.163739902658191,8.28758292319796,8.182661101870746,7.977665029788115,9.215297838335227,8.789180523429303,9.151437600225655,9.121887651520746,9.082360150407048,9.244884643849963,9.180932876096314,9.17143746852864,8.94484304943918,10.439968182498335,9.251943775890156,9.060377751677342
STMUK_2575,7.102368191356,6.892887348428508,6.753298159367957,6.762014778706586,8.217982182099544,8.104614646212356,7.66619601748197,7.324004508527953,7.6283871004903,7.553998861928406,7.590738196837014,7.871774582890196,10.229562336005962,10.161618626979118,9.959123840753687,11.004727463508539,10.285474478847362,10.145598313006527
STMUK_2576,4.1235961203589255,4.477294533624174,4.579513644549138,4.61804822114075,7.7525406271705934,7.813644142943933,6.603792236857218,6.753011513382579,7.624041184680037,7.44463253709944,7.363422717500852,7.818851475760675,10.557720943061533,10.383761341616756,10.212488235262127,10.852075318902779,10.76673554635138,10.841122176685056
STMUK_2577,7.196534069988292,7.4559074838486525,6.6096107510433475,7.061994051359648,7.672807630216912,7.727671879459288,7.951356374083141,7.920734785947074,8.196512557041169,8.079444225253976,8.215786735719496,8.238856299334168,7.480677424951107,7.354170399968591,7.508982270737696,7.294339985491231,7.172631402537005,7.681202786137388
STMUK_2578,4.885093582200686,5.3324773786479325,5.827688947099148,5.887224270692433,7.731927392003686,7.190765211183777,8.042539931628998,7.665327680951735,7.812343753036777,7.927941985613213,8.176988225648445,7.8799460606469465,4.545753472267919,4.443728776317461,5.104975314606034,3.5364575042355177,4.664635495817864,3.8908203262227192
STMUK_2579,1.9555817873895331,2.852105684201649,1.6112051597057282,2.7557036930040706,2.651742129689657,1.6225028697309671,2.229201874792073,2.045605372376867,2.5742151661196195,1.7847731909985118,2.6877360100251204,2.3040255515616423,4.513260856090716,4.439153506374634,4.558713749284943,4.653733262117014,4.751520701266139,4.781118737634106
STMUK_2580,6.230694442864068,6.711194707964818,6.4112658954095725,8.856039532197663,4.274451223116099,3.4488319662226448,0.8561464363884487,0.5507309455013472,0.6268690255145708,0.6831333673213486,0.20509087056307945,0.5594427862757001,4.708187213425716,4.456221973164703,4.474170918421693,5.18940920801728,5.16753875261189,4.6914722813791325
STMUK_2581,5.308165426766702,5.476358014721023,5.2104352797025415,7.752168144963702,4.875628171632616,4.319539446434306,1.3500260200929783,0.9909882211110796,1.1084891404420425,1.1604072298554704,1.2406684029343786,1.3841784221785003,4.910182225691586,4.85658604365008,5.118890368867001,5.394916465451344,5.458488650689489,4.985836008602936
STMUK_2582,5.131145775578863,5.245937939373418,4.823535604493913,7.250733811173373,4.395110807147502,3.702129948795406,1.5589482086155049,0.9687616509117688,1.696547557378424,1.5827156039520045,1.6062620965277925,1.561134906524325,5.359468673300273,5.334090125426865,5.512471983093229,5.878147772306285,6.075497427036242,5.873613527587968
STMUK_2583,3.9165237704314033,3.5446555160582687,3.798368668663513,4.118446458336004,4.869685943418522,4.0650985894461,3.514332436442729,3.323944053838045,3.961886739371381,3.3719402736008446,3.7311993514181223,4.017807225338058,4.3838244791411904,4.493105973379576,4.431673136420756,4.297914639701236,4.6217298953875945,4.749523630677957
STMUK_2584,4.953374896394326,5.085758456237798,5.285641016310591,5.1504648907407695,4.621999148583988,4.4886268857452265,4.271366295949724,4.443469925875213,5.0053828320210405,4.9017112469284765,4.779011131539304,4.9386341118294,5.8373298389455295,5.853990312623693,5.802584353557744,5.674707763349378,5.892207348358097,5.7698827097104335
STMUK_2585,8.411184215414105,7.648614055054589,7.6374974418189785,7.609948824541735,6.657470226696205,6.719576907031952,5.7942178160060145,6.003598260905662,6.514044614572003,6.494273941008623,6.495441545416807,6.483594201209074,7.4134696446116894,7.502895420271387,7.39758884475702,8.048738817203063,7.319627132098656,7.5717810890319015
STMUK_2586,3.436943406260398,3.4758174890977656,3.293245136182461,3.6250035434919328,5.155131550412048,4.5510977615818815,5.0238632966333965,5.0719254586824425,5.110935773810527,5.189662275066331,5.2293035752365045,5.2209252685594345,5.503714382823413,5.732209947868582,5.909274320338462,5.013145371487637,5.622897944831953,5.407748485335758
STMUK_2587,8.748473690426339,8.423605124050916,8.245591609968514,7.973159048331978,8.074369718589885,8.221792311193495,10.957032784749462,11.059388573399536,10.981684969477007,11.054551224936624,10.99752177624525,10.96165838553165,9.757904480173934,9.792400316683263,9.745014251647056,9.448227007301906,10.060807863525095,9.779858642761527
STMUK_2588,4.015756983999759,3.781643561625709,4.5492784435877756,3.6776090722102035,8.621765303639336,9.03760928785974,4.539336096187813,4.5984242509673425,4.30477353141544,4.2516969062661545,4.303535306481759,4.756024066618038,5.835276829548046,5.818490659248557,5.781823559556933,5.7831790639188325,6.070749137586337,5.972943852989966
STMUK_2589,4.86757623629388,5.60231184427922,4.889730195460898,5.383265116229277,5.93375342594988,5.272559268488012,5.42535544683991,5.5077025303895,5.672775422130762,5.679600022691399,5.739781985403146,5.792222948741852,5.707026847044925,5.531879198369667,5.506380711050547,5.470407632970479,5.714300677402347,5.7067523318683575
STMUK_2590,6.020396970829111,7.886653650973067,6.863248913480676,8.423147881000192,2.914253591925558,2.8427872023814187,3.1768930348250652,3.1128355797899334,2.6463233581874284,2.07990985044578,2.3758873215350014,1.9435339604661015,3.3554614565529297,3.2823111515308963,3.2474948597615154,2.7570543872029005,3.3986867484871985,3.3477448329196946
STMUK_2591,4.668804113452301,5.851534048827625,4.9580712038466865,6.746388566196353,3.74966951789412,3.9393983669100088,2.519039042982231,2.8447538614589316,3.011372887689701,3.002775169689205,2.7810732768099915,2.9277586744471216,3.1230652444959515,3.3811417795282925,3.31358956218872,3.09097604351054,3.0950668049300045,3.0390109076052547
STMUK_2592,2.447213795969714,2.6793990735596642,1.4421454868285604,3.723805654843977,2.063238734779375,2.5348070185295195,1.8882131612569324,1.913786569919962,2.1277333130135885,2.291276700076148,2.2023316728104336,2.0949550050294534,4.94125236760877,4.792429342932539,4.892598170265892,4.847187205682432,5.0559186554635165,5.098854056790877
STMUK_2593,6.189373417672902,6.361840966968394,5.45697319158504,5.664785886858312,7.827039933585928,8.216745652154621,6.964909617117361,7.036359642868455,7.262223299907356,7.183477907185148,7.653983850980353,7.701504600204056,8.081943494439889,8.254754508793942,8.080722245819876,8.293686394576985,8.233094223707443,8.476887145270881
STMUK_2594,5.5771006747574905,5.636227391377942,5.59029567557172,5.5955841267694835,6.419837444421848,6.2969393160422875,6.051467292900256,6.233249332116134,6.607812856754429,6.455491692886755,6.417985756771366,6.418160623200072,6.275797569701242,6.465535385137754,6.330388565127963,5.961462833559209,6.48627561530396,6.4448052875866235
STMUK_2595,5.278073682053778,5.531930477795044,5.498540179940969,5.482452076250684,5.696289060634166,5.876076030384041,5.68112443713138,5.62090400040404,6.155985412641732,6.1141316315128895,6.276289557441079,6.361743926265024,7.208851729043273,7.114190660872855,7.1515324227753645,6.891125027463065,7.2167626092016395,7.155988124105423
STMUK_2596,5.606503861163043,5.800465954412093,5.492592265895783,5.7382048540070185,5.6920241447821125,5.725886143464588,5.192236150846939,5.3542946279026085,6.1434458383602255,6.023689461551681,5.923168084126277,6.218315946506309,5.127305829001407,5.2976948097017615,5.204524341858806,5.0460842050190875,5.334245799709156,5.314504098886465
STMUK_2597,4.193242004329643,4.2376957943388485,3.7149597099358935,3.963302775760489,4.761993701335442,4.868016866498136,6.440031651115238,6.375097617565952,6.109529691188202,6.2374091098575155,6.341796166165994,6.5293522900268615,5.080617830213794,5.055043472553137,5.1323603710383825,4.371565845033587,5.214306205863502,5.0082371936827474
STMUK_2598,2.494269119486978,1.4493659400166328,2.2809093844820008,2.678844206066785,2.5759074609422803,3.512632392592644,2.2062442203613446,1.2525151757330175,2.7366841754309137,2.257860192899328,1.2406684029343786,2.568357492873933,2.209600944826649,2.069633763430815,1.926104131975908,0.6419968666133551,1.6760919493484652,1.8584022162384275
STMUK_2599,4.008194357332403,4.075553049965918,3.6055306222110857,3.9921120835996513,4.957163802183207,4.2282717035669295,5.073214867047904,5.041471208444748,5.248647365365718,4.948333366373227,5.2772338423004905,5.4167960362187015,3.285593643280172,3.0854998898245687,3.5073694725922846,3.2332819934145585,3.778169047097273,3.3203068817932886
STMUK_2600,4.619127318643803,4.814984965707085,4.884756698558736,5.273044646962434,5.826465991599305,5.8400163768910005,4.687768609858414,4.611377928018406,4.847506181410368,4.808995562065312,4.446374312803283,4.831603431300309,6.034505931652968,6.121299059114424,5.951039710904123,5.977579330423128,5.956064924350597,6.0639914882130075
STMUK_2601,5.803434135739473,5.935005637118881,6.134853636885902,6.4635807879760065,7.384988738535992,7.538064685722983,4.929812653614456,4.765374857561799,5.175424314443809,4.973637336496957,4.824377020406846,4.619805082287372,7.849755315791509,8.016954979400913,7.772626090452808,7.939405269188333,7.697661080085148,7.993326027727085
