	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
ERX1409478	7740365	146519	7013360	541209	0	0	0	0	6286	0	0	0	0	24429	8299	263	1.8929210702596069	7740365.0	7199156.0	93.01	541209.0	6.99	ERX1409478_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7740365.0	0.0	20-101	54.0	10.071394645224744	87.87628025293381	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	7849964	2395605	7849964	792846364	104907210	683692294	13.76736716673648	0.2755	0.2656	0.4588		
ERX1409479	7662221	144488	6915750	563415	0	0	0	0	5961	0	0	0	0	24076	8256	275	1.8857195583369364	7662221.0	7098806.0	92.65	563415.0	7.35	ERX1409479_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7662221.0	0.0	20-101	54.0	10.102736766722387	87.42494767509315	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	7792102	1725744	7792102	787002302	99973432	683573931	13.142067149887446	0.2754	0.2637	0.4609		
ERX1409480	10340359	120954	10083009	95141	0	0	0	0	0	0	0	0	0	37501	3474	280	1.169727279294655	10340359.0	10245218.0	99.08	95141.0	0.92	ERX1409480_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10340359.0	0.0	20-36	54.0	6.92683241109169	35.08114843981723	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass	13752171	3223286	13752171	495078156	121044514	369760080	25.312786371451217			0.4414	0.3015	0.2571
ERX1409481	10097108	118435	9842072	95685	0	0	0	0	0	0	0	0	0	37138	3501	277	1.1729596236863071	10097108.0	10001423.0	99.05	95685.0	0.95	ERX1409481_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10097108.0	0.0	20-36	54.0	6.7117531028147965	34.98470552162065	pass	pass	fail	pass	fail	pass	pass	warn	fail	fail	pass	14021382	3172842	14021382	504769752	138932650	361637563	28.355936232882677			0.4348	0.3002	0.2651
ERX1409482	10275877	119608	10022176	92687	0	0	0	0	0	0	0	0	0	37700	3429	277	1.1639687785285868	10275877.0	10183190.0	99.1	92687.0	0.9	ERX1409482_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10275877.0	0.0	20-36	54.0	5.916953796470486	34.94178472552756	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	13747767	3191495	13747767	494919612	122489681	368206040	25.602859318494733			0.4378	0.2974	0.2648
ERX1409483	10937078	109436	10682230	101033	0	0	0	0	0	0	0	0	0	40863	3244	272	1.0005963201505923	10937078.0	10836045.0	99.08	101033.0	0.92	ERX1409483_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10937078.0	0.0	20-36	54.0	6.8747411630741055	35.08674519830617	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	14594950	3409372	14594950	525418200	129867904	391016658	25.579917482873643			0.4832	0.2815	0.2353
ERX1409484	10727477	107787	10473832	101776	0	0	0	0	0	0	0	0	0	40566	3256	260	1.0047749344976458	10727477.0	10625701.0	99.05	101776.0	0.95	ERX1409484_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10727477.0	0.0	20-36	54.0	6.577688342938827	34.979607040872715	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	15107140	3381941	15107140	543857040	155263390	384104906	29.373920396433594			0.479	0.2792	0.2418
ERX1409485	10893940	109151	10642876	97513	0	0	0	0	0	0	0	0	0	40961	3195	244	1.0019423642869338	10893940.0	10796427.0	99.1	97513.0	0.9	ERX1409485_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10893940.0	0.0	20-36	54.0	5.956293617339267	34.92816354780732	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	14826383	3400498	14826383	533749788	138948396	390287599	26.878172549269465			0.4679	0.2946	0.2375
ERX3467881	28889873	12439361	14839	5472501	0	0	0	0	2159470	0	0	0	0	7880833	858679	64190	43.05785975590824	28889873.0	23417372.0	81.06	5472501.0	18.94	ERX3467881_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28889873.0	0.0	20-75	52.0	26.685555005787943	69.73828143862039	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	29178462	9616992	29178462	2061752365	5781755	2043953434	0.8632914069677811	0.5723	0.0511	0.3766		
ERX3467882	39004232	16844327	24862	7843769	0	0	0	0	3018831	0	0	0	0	10276901	924335	71207	43.18589582791939	39004232.0	31160463.0	79.89	7843769.0	20.11	ERX3467882_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39004232.0	0.0	20-75	51.0	25.906383348627248	69.64652912535234	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	39392158	10361117	39392158	2788005555	31624226	2741508092	1.6677679467536068	0.6083	0.0644	0.3273		
ERX3467883	16819699	7612354	10807	3050711	0	0	0	0	1273427	0	0	0	0	4256756	582517	33127	45.25856259377768	16819699.0	13768988.0	81.86	3050711.0	18.14	ERX3467883_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16819699.0	0.0	20-75	52.0	31.67806450495924	69.56077715778386	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	16960773	4506230	16960773	1200027050	12861400	1180744364	1.6068542788264646	0.5926	0.05	0.3574		
ERX3467884	34705645	15932739	20814	5996172	0	0	0	0	3008352	0	0	0	0	8603794	1038260	105514	45.90820599934103	34705645.0	28709473.0	82.72	5996172.0	17.28	ERX3467884_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34705645.0	0.0	20-75	51.0	26.96181271014539	69.15999307893571	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	34976581	9357333	34976581	2460753574	24137906	2423158638	1.5277814242443115	0.5436	0.0713	0.3851		
ERX3467885	33850993	15748972	24077	7046689	0	0	0	0	2295103	0	0	0	0	7191773	1423436	120943	46.52440181001485	33850993.0	26804304.0	79.18	7046689.0	20.82	ERX3467885_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33850993.0	0.0	20-75	51.0	27.696857462141622	69.92300509471022	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	34123515	11028224	34123515	2418055048	6917488	2397319671	0.8575229508174539	0.5055	0.0681	0.4264		
ERX3467886	25725950	12663327	12840	4658501	0	0	0	0	1533481	0	0	0	0	5599756	1157141	100904	49.223943139126064	25725950.0	21067449.0	81.89	4658501.0	18.11	ERX3467886_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25725950.0	0.0	20-75	51.0	30.112023884119743	70.1743668941283	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	25923932	8450627	25923932	1844704274	5529380	1828544949	0.875984580713342	0.5106	0.086	0.4034		
ERX3503512	17240856	9641035	47677	2894345	0	0	0	0	621240	0	0	0	0	3266749	716510	53300	55.919700274742745	17240856.0	14346511.0	83.21	2894345.0	16.79	ERX3503512_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17240856.0	0.0	20-75	50.0	35.523329777103854	71.31370333352358	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	17408042	5736644	17408042	1257978995	3292189	1247712539	0.8161071083702792	0.6707	0.0397	0.2896		
ERX3503513	17987355	10717051	95522	3054187	0	0	0	0	142516	0	0	0	0	3139648	764743	73688	59.58102789431798	17987355.0	14933168.0	83.02	3054187.0	16.98	ERX3503513_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17987355.0	0.0	20-75	51.0	32.66806787704676	72.95654864208774	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	18114111	5965247	18114111	1341694978	3696575	1331007637	0.796555191399099	0.6573	0.0404	0.3022		
ERX3503514	18025627	10619169	56662	3150191	0	0	0	0	139884	0	0	0	0	3256534	738387	64800	58.91150970781766	18025627.0	14875436.0	82.52	3150191.0	17.48	ERX3503514_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18025627.0	0.0	20-75	50.0	34.87852328436483	72.85869079616481	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	18165827	4973775	18165827	1345805093	14970141	1325101175	1.5384038972424958	0.6689	0.0342	0.2969		
ERX3503515	17134821	9386202	32987	2674695	0	0	0	0	534443	0	0	0	0	3651881	807109	47504	54.778523802495506	17134821.0	14460126.0	84.39	2674695.0	15.61	ERX3503515_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17134821.0	0.0	20-75	52.0	37.24271772710896	71.42245197659199	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	17293147	5682089	17293147	1251600112	3591311	1241014564	0.8457611898967295	0.5457	0.08199999999999999	0.3722		
