,gene_id,database,kegg_id
14443,STM2992,KEGG_reaction,R00259
14444,STM3001,KEGG_reaction,R02101
14445,STM3004,KEGG_reaction,R10816
14446,STM3010,KEGG_reaction,R01406
14447,STM3010,KEGG_reaction,R04864
14448,STM3013,KEGG_reaction,R00451
14449,STM3017,KEGG_reaction,R01542
14450,STM3018,KEGG_reaction,R04383
14451,STM3019,KEGG_reaction,R00238
14452,STM3019,KEGG_reaction,R01177
14453,STM3039,KEGG_reaction,R01123
14454,STM3040,KEGG_reaction,R03658
14455,STM3051,KEGG_reaction,R00839
14456,STM3051,KEGG_reaction,R05133
14457,STM3051,KEGG_reaction,R05134
14458,STM3053,KEGG_reaction,R01221
14459,STM3053,KEGG_reaction,R03425
14460,STM3055,KEGG_reaction,R01221
14461,STM3055,KEGG_reaction,R02300
14462,STM3055,KEGG_reaction,R04125
14463,STM3056,KEGG_reaction,R04987
14464,STM3056,KEGG_reaction,R08768
14465,STM3057,KEGG_reaction,R04989
14466,STM3057,KEGG_reaction,R08773
14467,STM3061,KEGG_reaction,R02301
14468,STM3062,KEGG_reaction,R01513
14469,STM3063,KEGG_reaction,R01056
14470,STM3068,KEGG_reaction,R01068
14471,STM3068,KEGG_reaction,R01070
14472,STM3068,KEGG_reaction,R01829
14473,STM3068,KEGG_reaction,R02568
14474,STM3069,KEGG_reaction,R01512
14475,STM3070,KEGG_reaction,R01825
14476,STM3076,KEGG_reaction,R01067
14477,STM3076,KEGG_reaction,R01641
14478,STM3076,KEGG_reaction,R01830
14479,STM3076,KEGG_reaction,R06590
14480,STM3078,KEGG_reaction,R01157
14481,STM3081,KEGG_reaction,R02935
14482,STM3081,KEGG_reaction,R02936
14483,STM3086,KEGG_reaction,R00566
14484,STM3090,KEGG_reaction,R00177
14485,STM3090,KEGG_reaction,R04771
14486,STM3095,KEGG_reaction,R00497
14487,STM3095,KEGG_reaction,R10994
14488,STM3103,KEGG_reaction,R00426
14489,STM3103,KEGG_reaction,R00720
14490,STM3103,KEGG_reaction,R01855
14491,STM3103,KEGG_reaction,R02100
14492,STM3103,KEGG_reaction,R02720
14493,STM3103,KEGG_reaction,R03531
14494,STM3106,KEGG_reaction,R00485
14495,STM3114,KEGG_reaction,R00670
14496,STM3118,KEGG_reaction,R02407
14497,STM3118,KEGG_reaction,R10600
14498,STM3118,KEGG_reaction,R11773
14499,STM3128,KEGG_reaction,R07415
14500,STM3129,KEGG_reaction,R02536
14501,STM3135,KEGG_reaction,R05606
14502,STM3136,KEGG_reaction,R02454
14503,STM3137,KEGG_reaction,R01482
14504,STM3137,KEGG_reaction,R01983
14505,STM3139,KEGG_reaction,R01917
14506,STM3139,KEGG_reaction,R01918
14507,STM3147,KEGG_reaction,R08034
14508,STM3150,KEGG_reaction,R08034
14509,STM3161,KEGG_reaction,R00782
14510,STM3161,KEGG_reaction,R01286
14511,STM3161,KEGG_reaction,R02408
14512,STM3161,KEGG_reaction,R04941
14513,STM3164,KEGG_reaction,R02528
14514,STM3165,KEGG_reaction,R08878
14515,STM3173,KEGG_reaction,R02241
14516,STM3173,KEGG_reaction,R09381
14517,STM3183,KEGG_reaction,R00191
14518,STM3185,KEGG_reaction,R01054
14519,STM3189,KEGG_reaction,R08836
14520,STM3195,KEGG_reaction,R07281
14521,STM3200,KEGG_reaction,R05644
14522,STM3200,KEGG_reaction,R05646
14523,STM3204,KEGG_reaction,R09382
14524,STM3204,KEGG_reaction,R09383
14525,STM3204,KEGG_reaction,R09384
14526,STM3204,KEGG_reaction,R09386
14527,STM3205,KEGG_reaction,R05627
14528,STM3206,KEGG_reaction,R03504
14529,STM3206,KEGG_reaction,R11037
14530,STM3206,KEGG_reaction,R11073
14531,STM3207,KEGG_reaction,R00851
14532,STM3207,KEGG_reaction,R09380
14533,STM3208,KEGG_reaction,R10648
14534,STM3218,KEGG_reaction,R01155
14535,STM3220,KEGG_reaction,R07234
14536,STM3240,KEGG_reaction,R00220
14537,STM3240,KEGG_reaction,R00590
14538,STM3241,KEGG_reaction,R00212
14539,STM3241,KEGG_reaction,R06987
14540,STM3242,KEGG_reaction,R01353
14541,STM3244,KEGG_reaction,R00220
14542,STM3244,KEGG_reaction,R00996
14543,STM3247,KEGG_reaction,R08572
14544,STM3248,KEGG_reaction,R01745
14545,STM3248,KEGG_reaction,R01747
14546,STM3249,KEGG_reaction,R02754
14547,STM3249,KEGG_reaction,R03277
14548,STM3250,KEGG_reaction,R05608
14549,STM3253,KEGG_reaction,R01069
14550,STM3254,KEGG_reaction,R00756
14551,STM3254,KEGG_reaction,R03236
14552,STM3254,KEGG_reaction,R03237
14553,STM3254,KEGG_reaction,R03238
14554,STM3254,KEGG_reaction,R03239
14555,STM3254,KEGG_reaction,R04779
14556,STM3255,KEGG_reaction,R03232
14557,STM3257,KEGG_reaction,R01069
14558,STM3258,KEGG_reaction,R05570
14559,STM3259,KEGG_reaction,R05570
14560,STM3260,KEGG_reaction,R05570
14561,STM3261,KEGG_reaction,R05571
14562,STM3282,KEGG_reaction,R00437
14563,STM3282,KEGG_reaction,R00438
14564,STM3282,KEGG_reaction,R00439
14565,STM3282,KEGG_reaction,R00440
14566,STM3290,KEGG_reaction,R01954
14567,STM3294,KEGG_reaction,R02060
14568,STM3295,KEGG_reaction,R03066
14569,STM3295,KEGG_reaction,R03067
14570,STM3305,KEGG_reaction,R09248
14571,STM3307,KEGG_reaction,R00660
14572,STM3315,KEGG_reaction,R01530
14573,STM3316,KEGG_reaction,R03350
14574,STM3330,KEGG_reaction,R00093
14575,STM3330,KEGG_reaction,R00114
14576,STM3330,KEGG_reaction,R00248
14577,STM3331,KEGG_reaction,R00093
14578,STM3331,KEGG_reaction,R00114
14579,STM3331,KEGG_reaction,R00248
14580,STM3334,KEGG_reaction,R00974
14581,STM3334,KEGG_reaction,R01411
14582,STM3334,KEGG_reaction,R02922
14583,STM3336,KEGG_reaction,R02705
14584,STM3337,KEGG_reaction,R02087
14585,STM3339,KEGG_reaction,R01811
14586,STM3351,KEGG_reaction,R00217
14587,STM3352,KEGG_reaction,R00217
14588,STM3354,KEGG_reaction,R00339
14589,STM3355,KEGG_reaction,R00339
14590,STM3359,KEGG_reaction,R00342
14591,STM3359,KEGG_reaction,R07136
14592,STM3376,KEGG_reaction,R00919
14593,STM3379,KEGG_reaction,R00742
14594,STM3380,KEGG_reaction,R00742
