,gene_id,database,kegg_id
3386,STM14_0261,KEGG_pathway,map01130
3389,STM14_0263,KEGG_pathway,map00900
3390,STM14_0263,KEGG_pathway,map01110
3395,STM14_0264,KEGG_pathway,map00564
3396,STM14_0264,KEGG_pathway,map01100
3397,STM14_0264,KEGG_pathway,map01110
3398,STM14_0264,KEGG_pathway,map04070
3401,STM14_0265,KEGG_pathway,map02024
3402,STM14_0265,KEGG_pathway,map04112
3405,STM14_0268,KEGG_pathway,map00540
3406,STM14_0268,KEGG_pathway,map01100
3410,STM14_0270,KEGG_pathway,map00540
3411,STM14_0270,KEGG_pathway,map01100
3412,STM14_0270,KEGG_pathway,map01503
3415,STM14_0271,KEGG_pathway,map00540
3416,STM14_0271,KEGG_pathway,map01100
3418,STM14_0272,KEGG_pathway,map03030
3425,STM14_0273,KEGG_pathway,map00230
3426,STM14_0273,KEGG_pathway,map00240
3427,STM14_0273,KEGG_pathway,map01100
3428,STM14_0273,KEGG_pathway,map03030
3429,STM14_0273,KEGG_pathway,map03430
3430,STM14_0273,KEGG_pathway,map03440
3441,STM14_0274,KEGG_pathway,map00061
3442,STM14_0274,KEGG_pathway,map00620
3443,STM14_0274,KEGG_pathway,map00640
3444,STM14_0274,KEGG_pathway,map00720
3445,STM14_0274,KEGG_pathway,map01100
3446,STM14_0274,KEGG_pathway,map01110
3447,STM14_0274,KEGG_pathway,map01120
3448,STM14_0274,KEGG_pathway,map01130
3449,STM14_0274,KEGG_pathway,map01200
3450,STM14_0274,KEGG_pathway,map01212
3455,STM14_0276,KEGG_pathway,map00310
3456,STM14_0276,KEGG_pathway,map00960
3457,STM14_0276,KEGG_pathway,map01100
3458,STM14_0276,KEGG_pathway,map01110
3460,STM14_0283,KEGG_pathway,map01503
3462,STM14_0284,KEGG_pathway,map00970
3464,STM14_0286,KEGG_pathway,map02020
3466,STM14_0287,KEGG_pathway,map02010
3468,STM14_0288,KEGG_pathway,map02010
3470,STM14_0289,KEGG_pathway,map02010
3473,STM14_0290,KEGG_pathway,map00540
3474,STM14_0290,KEGG_pathway,map01100
3476,STM14_0306,KEGG_pathway,map00620
3478,STM14_0308,KEGG_pathway,map03030
3485,STM14_0309,KEGG_pathway,map00230
3486,STM14_0309,KEGG_pathway,map00240
3487,STM14_0309,KEGG_pathway,map01100
3488,STM14_0309,KEGG_pathway,map03030
