	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
SRX2804008	14492581	9582469	22514	1572473	0	0	0	0	0	0	0	0	0	2673252	634907	6966	66.11982365321953	14492581.0	12920108.0	89.15	1572473.0	10.85	SRX2804008_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14492581.0	0.0	20-100	52.0	24.127289507689863	95.94968391068508	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	14500649	5610645	14500649	1450064900	23168447	1394929037	3.802303124501531			0.0016	0.2459	0.7526
SRX2804009	16496216	13508473	91383	472046	0	0	0	0	0	0	0	0	0	1824930	590337	9047	81.88831305312684	16496216.0	16024170.0	97.14	472046.0	2.86	SRX2804009_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16496216.0	0.0	20-100	52.0	19.563350064181193	96.33615527342756	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	16507783	5912183	16507783	1650778300	29591407	1593991682	3.439990578989317			0.3804	0.10099999999999999	0.5186
SRX2804010	11984707	9047042	57010	524255	0	0	0	0	0	0	0	0	0	1932096	418251	6053	75.48822011251505	11984707.0	11460452.0	95.63	524255.0	4.37	SRX2804010_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11984707.0	0.0	20-100	52.0	20.842197638127924	95.67417943550892	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	12021225	4842707	12021225	1202122500	18337876	1150258310	4.314384765279745			0.0069	0.309	0.6842
SRX2804011	13885846	10732284	44258	511987	0	0	0	0	0	0	0	0	0	2107309	483351	6657	77.28937797524183	13885846.0	13373859.0	96.31	511987.0	3.69	SRX2804011_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13885846.0	0.0	20-100	52.0	19.4816568782577	95.87858557555657	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	13893552	5453841	13893552	1389355200	21474982	1335551567	3.872561386749767			0.0058	0.2306	0.7636
SRX2804012	16132727	13433249	162483	416023	0	0	0	0	0	0	0	0	0	1550836	562638	7498	83.2670694793261	16132727.0	15716704.0	97.42	416023.0	2.58	SRX2804012_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16132727.0	0.0	20-100	52.0	19.312752547189998	96.18401922997893	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	16144509	5927111	16144509	1614450900	28446682	1556444234	3.5929656330830495			0.3236	0.0941	0.5823
SRX2804013	15090164	10241498	15913	1565749	0	0	0	0	0	0	0	0	0	2583009	677203	6792	67.86869910757763	15090164.0	13524415.0	89.62	1565749.0	10.38	SRX2804013_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15090164.0	0.0	20-100	52.0	21.46779465759216	95.92614805246649	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	15095310	5865290	15095310	1509531000	23701745	1452097621	3.8047167630210974			0.0003	0.242	0.7576
SRX2804014	15705402	10935258	11732	1710253	0	0	0	0	0	0	0	0	0	2349848	691226	7085	69.62736770443698	15705402.0	13995149.0	89.11	1710253.0	10.89	SRX2804014_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15705402.0	0.0	20-100	52.0	19.854762474184877	96.53117456019272	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	15709828	5596136	15709828	1570982800	25459845	1520611395	3.2063626030787864			0.0002	0.1765	0.8234
SRX2804015	14707982	10016182	8751	1585024	0	0	0	0	0	0	0	0	0	2423396	667501	7128	68.10031450949559	14707982.0	13122958.0	89.22	1585024.0	10.78	SRX2804015_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14707982.0	0.0	20-100	51.0	21.163886562907507	96.39543344559436	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	14712822	5405130	14712822	1471282200	22565750	1422107498	3.3423025168115266			0.0002	0.2293	0.7706
SRX2804016	13181216	10375284	15918	351916	0	0	0	0	0	0	0	0	0	1759063	671361	7674	78.71264684532899	13181216.0	12829300.0	97.33	351916.0	2.67	SRX2804016_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13181216.0	0.0	20-100	51.0	18.849507285345407	96.32050138621506	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	13185977	5060373	13185977	1318597700	17782192	1273550341	3.416308021771917			0.2813	0.2389	0.4799
SRX2804017	16197453	13216982	13185	530864	0	0	0	0	0	0	0	0	0	1491738	925564	19120	81.59913783975792	16197453.0	15666589.0	96.72	530864.0	3.28	SRX2804017_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16197453.0	0.0	20-100	51.0	21.10080950519652	95.47602515037396	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	16202635	6609519	16202635	1620263500	24994229	1551479564	4.245231470066443			0.3405	0.2257	0.4339
SRX2804018	12919247	9964277	15161	369623	0	0	0	0	0	0	0	0	0	1968249	593299	8638	77.12738211445296	12919247.0	12549624.0	97.14	369623.0	2.86	SRX2804018_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12919247.0	0.0	20-100	52.0	23.072247904098223	95.85328819860787	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	12922931	5061563	12922931	1292293100	20502329	1242257136	3.871874267532652			0.3071	0.2252	0.4677
SRX2804019	13525000	11217712	15742	378653	0	0	0	0	0	0	0	0	0	1169987	729169	13737	82.94056931608134	13525000.0	13146347.0	97.2	378653.0	2.8	SRX2804019_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13525000.0	0.0	20-100	51.0	20.000713176397444	95.89878151571163	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	13530031	5418429	13530031	1353003100	18232278	1301132895	3.8337092501857537			0.3121	0.2334	0.4545
SRX2804020	18107363	14880391	41434	521005	0	0	0	0	0	0	0	0	0	1966093	686560	11880	82.17867505058578	18107363.0	17586358.0	97.12	521005.0	2.88	SRX2804020_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18107363.0	0.0	20-100	52.0	18.78821970367549	95.74205509659248	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	18119670	7200089	18119670	1811967000	27162495	1739087532	4.022118945874841			0.4314	0.1184	0.4502
SRX2804021	14525498	12314944	70600	363160	0	0	0	0	0	0	0	0	0	1206548	563120	7126	84.78156136195813	14525498.0	14162338.0	97.5	363160.0	2.5	SRX2804021_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14525498.0	0.0	20-100	52.0	19.33296269461714	96.20067539164577	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	14535302	5560227	14535302	1453530200	21537206	1401645186	3.569586239075046			0.3186	0.1251	0.5563
SRX2804022	15113109	12333719	66571	451047	0	0	0	0	0	0	0	0	0	1674688	578268	8816	81.60940942065594	15113109.0	14662062.0	97.02	451047.0	2.98	SRX2804022_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15113109.0	0.0	20-100	52.0	19.329778723500628	96.05706582279	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	15142880	6003755	15142880	1514288000	20891609	1456247383	3.832865148505437			0.3332	0.1513	0.5155
SRX2804023	14281767	10242896	25517	1233379	0	0	0	0	0	0	0	0	0	2117058	657175	5742	71.72008897778545	14281767.0	13048388.0	91.36	1233379.0	8.64	SRX2804023_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14281767.0	0.0	20-100	52.0	20.60209129531556	95.75149755628979	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	14286401	5689517	14286401	1428640100	21848817	1371847462	3.975293567638204			0.0002	0.1642	0.8356
SRX2804024	14350907	11470341	29600	532187	0	0	0	0	0	0	0	0	0	1714571	597135	7073	79.9276380231577	14350907.0	13818720.0	96.29	532187.0	3.71	SRX2804024_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14350907.0	0.0	20-100	52.0	18.459741382611792	96.26971619285109	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	14358769	5313739	14358769	1435876900	22258041	1385763037	3.4901225167700667			0.0007	0.2722	0.7271
SRX2804025	14330455	11962611	12965	358073	0	0	0	0	0	0	0	0	0	1214557	768663	13586	83.47684005846291	14330455.0	13972382.0	97.5	358073.0	2.5	SRX2804025_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14330455.0	0.0	20-100	51.0	19.564906960014817	95.58401697643237	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	14334500	5802386	14334500	1433450000	22154256	1374177861	4.134928947643797			0.318	0.2348	0.4472
SRX2804026	18479709	14755394	32756	1231225	0	0	0	0	0	0	0	0	0	1650689	801747	7898	79.84646295025534	18479709.0	17248484.0	93.34	1231225.0	6.66	SRX2804026_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18479709.0	0.0	20-100	52.0	19.76819297119904	96.39647961989012	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	18488434	6720780	18488434	1848843400	33108733	1786858642	3.352623483416713			0.0078	0.1071	0.8851
SRX2804027	13410820	10661115	27288	524861	0	0	0	0	0	0	0	0	0	1692606	499267	5683	79.49636934952522	13410820.0	12885959.0	96.09	524861.0	3.91	SRX2804027_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13410820.0	0.0	20-100	52.0	21.282082317246076	96.9266323759472	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	13418910	4451112	13418910	1341891000	23705467	1303655827	2.849350133505628			0.0179	0.2522	0.7299
SRX2804028	17823090	14602438	61473	728221	0	0	0	0	0	0	0	0	0	1833545	589774	7639	81.92988982269628	17823090.0	17094869.0	95.91	728221.0	4.09	SRX2804028_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17823090.0	0.0	20-100	53.0	19.350503369670466	96.53484810995177	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	17835025	6296487	17835025	1783502500	31377171	1725697386	3.2411008114650808			0.0094	0.2323	0.7583
SRX2804029	16105021	13035914	42189	734853	0	0	0	0	0	0	0	0	0	1720329	564446	7290	80.94316673042525	16105021.0	15370168.0	95.44	734853.0	4.56	SRX2804029_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16105021.0	0.0	20-100	52.0	21.388592372911425	96.48637428041852	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	16114316	5745331	16114316	1611431600	28760288	1558611932	3.277810116172477			0.0225	0.2201	0.7575
SRX2804030	16544170	12655148	13101	1008478	0	0	0	0	0	0	0	0	0	2120526	740154	6763	76.4930969640665	16544170.0	15535692.0	93.9	1008478.0	6.1	SRX2804030_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16544170.0	0.0	20-100	52.0	22.18583353804506	96.09379763384926	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	16550583	5890920	16550583	1655058300	35393355	1594727717	3.645224038331459			0.0005	0.1747	0.8248
SRX2804031	17293244	13510682	19716	1079760	0	0	0	0	0	0	0	0	0	1929260	746571	7255	78.12693789551572	17293244.0	16213484.0	93.76	1079760.0	6.24	SRX2804031_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17293244.0	0.0	20-100	52.0	21.81902850737885	96.06107818752804	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	17299514	6173094	17299514	1729951400	37537729	1666375417	3.675015552460029			0.0007	0.1589	0.8405
SRX2804032	15542619	12215065	20173	915568	0	0	0	0	0	0	0	0	0	1708850	676589	6374	78.59077675390486	15542619.0	14627051.0	94.11	915568.0	5.89	SRX2804032_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15542619.0	0.0	20-100	52.0	22.211721710754066	95.85505274239814	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	15548867	5617968	15548867	1554886700	35183231	1494526133	3.881991337375257			0.0017	0.1595	0.8389
SRX2804033	14975200	12329690	36973	549336	0	0	0	0	0	0	0	0	0	1523572	528907	6722	82.33405897750949	14975200.0	14425864.0	96.33	549336.0	3.67	SRX2804033_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14975200.0	0.0	20-100	52.0	22.471591042817465	96.337366312303	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	14986456	5171541	14986456	1498645600	31272849	1447020870	3.4447590544422244			0.0	0.2641	0.7359
SRX2804034	12721228	9780936	17502	385170	0	0	0	0	0	0	0	0	0	1962832	566787	8001	76.88672823095379	12721228.0	12336058.0	96.97	385170.0	3.03	SRX2804034_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12721228.0	0.0	20-100	52.0	23.972444275222465	95.84710658436434	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	12725283	4977554	12725283	1272528300	20509776	1223136510	3.881390299924961			0.2971	0.2241	0.4788
SRX2804035	17358010	13099844	43433	1295279	0	0	0	0	0	0	0	0	0	2093954	818495	7005	75.46858193998045	17358010.0	16062731.0	92.54	1295279.0	7.46	SRX2804035_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17358010.0	0.0	20-100	52.0	23.21562070550561	96.15884701068843	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	17367013	6411772	17367013	1736701300	31415939	1674310490	3.5924893935416526			0.0049	0.1655	0.8297
SRX2804036	17271402	13717277	27915	1065106	0	0	0	0	0	0	0	0	0	1736564	717781	6759	79.42190796091712	17271402.0	16206296.0	93.83	1065106.0	6.17	SRX2804036_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17271402.0	0.0	20-100	52.0	19.99786784541396	96.45438164197672	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	17278041	6103943	17278041	1727804100	31747499	1670944496	3.2908594209262496			0.0094	0.1511	0.8395
SRX2804037	13343563	10211266	14547	748645	0	0	0	0	0	0	0	0	0	1703730	659496	5879	76.52578250651644	13343563.0	12594918.0	94.39	748645.0	5.61	SRX2804037_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13343563.0	0.0	20-100	51.0	20.39176899654898	95.86545182872072	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	13347252	5263589	13347252	1334725200	20295001	1283246229	3.856896610628165			0.0	0.2594	0.7406
SRX2804038	15102221	11160682	16565	1048565	0	0	0	0	0	0	0	0	0	2132211	737316	6882	73.90093152523724	15102221.0	14053656.0	93.06	1048565.0	6.94	SRX2804038_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15102221.0	0.0	20-100	51.0	19.712939696366092	96.39033702393841	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	15107687	5558506	15107687	1510768700	23371717	1460166576	3.3494289364083327			0.0003	0.2419	0.7578
SRX2804039	14706573	12034369	93142	551833	0	0	0	0	0	0	0	0	0	1443601	576686	6942	81.8298661421665	14706573.0	14154740.0	96.25	551833.0	3.75	SRX2804039_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14706573.0	0.0	20-100	52.0	20.64415054027252	95.90610280178802	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	14713254	5829794	14713254	1471325400	21819862	1414875982	3.8366372251848566			0.0	0.3158	0.6842
SRX2804040	12128271	9648062	26682	425531	0	0	0	0	0	0	0	0	0	1586286	435861	5849	79.55018485322434	12128271.0	11702740.0	96.49	425531.0	3.51	SRX2804040_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12128271.0	0.0	20-100	52.0	20.239599822548648	95.76476102817955	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	12134697	4810843	12134697	1213469700	18054558	1165102660	3.9858465357643458			0.0051	0.2292	0.7657
SRX2804041	17815961	13080848	13358	1293104	0	0	0	0	0	0	0	0	0	2561675	858553	8423	73.42207361140946	17815961.0	16522857.0	92.74	1293104.0	7.26	SRX2804041_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17815961.0	0.0	20-100	51.0	19.680103751986962	96.02479596806481	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	17820713	6913103	17820713	1782071300	27439169	1716147620	3.6992728629881424			0.0019	0.2845	0.7136
SRX2804042	15217446	11121327	11987	1090292	0	0	0	0	0	0	0	0	0	2272744	713787	7309	73.08274331973973	15217446.0	14127154.0	92.84	1090292.0	7.16	SRX2804042_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15217446.0	0.0	20-100	51.0	20.572669072227434	95.74419767942663	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	15221626	5996858	15221626	1522162600	23707372	1461606969	3.978262966124644			0.0013	0.2597	0.7391
SRX2804043	12687420	9084840	14084	919791	0	0	0	0	0	0	0	0	0	2019822	642641	6242	71.60510174645434	12687420.0	11767629.0	92.75	919791.0	7.25	SRX2804043_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12687420.0	0.0	20-100	51.0	21.721402558918342	95.86253769481895	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	12691843	5125542	12691843	1269184300	16902358	1220116610	3.866080757538523			0.0003	0.2499	0.7499
SRX2804044	16499792	12884885	40414	866085	0	0	0	0	0	0	0	0	0	1905474	796134	6800	78.09119654356856	16499792.0	15633707.0	94.75	866085.0	5.25	SRX2804044_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16499792.0	0.0	20-100	52.0	18.699030547336726	96.00516164082552	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	16504077	6471712	16504077	1650407700	24362299	1589063537	3.716909646022616			0.0	0.2546	0.7454
SRX2804045	15496780	12570529	75221	521151	0	0	0	0	0	0	0	0	0	1818263	503594	8022	81.11703850735444	15496780.0	14975629.0	96.64	521151.0	3.36	SRX2804045_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15496780.0	0.0	20-100	53.0	18.054258072720877	95.60835334824397	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	15508439	6189260	15508439	1550843900	22391854	1486251357	4.16499320144342			0.0	0.2392	0.7608
SRX2804046	10754964	8914629	31480	358706	0	0	0	0	0	0	0	0	0	1086739	358544	4866	82.88850618188958	10754964.0	10396258.0	96.66	358706.0	3.34	SRX2804046_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10754964.0	0.0	20-100	52.0	20.231440811802624	96.46637329515931	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	10768151	3923272	10768151	1076815100	16513639	1040599462	3.3632178820672185			0.0	0.2462	0.7538
SRX2804047	17156735	14476601	43276	518349	0	0	0	0	0	0	0	0	0	1277733	824878	15898	84.37853122986397	17156735.0	16638386.0	96.98	518349.0	3.02	SRX2804047_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17156735.0	0.0	20-100	52.0	20.916315181176827	95.92759869520629	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	17162933	6385338	17162933	1716293300	33477190	1650981489	3.80539917040986			0.3301	0.2616	0.4082
SRX2804048	16006030	13210972	80961	481044	0	0	0	0	0	0	0	0	0	1649329	574474	9250	82.53746869148691	16006030.0	15524986.0	96.99	481044.0	3.01	SRX2804048_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16006030.0	0.0	20-100	52.0	19.898605343125123	96.2209187412494	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	16014893	5872894	16014893	1601489300	28559168	1544836413	3.5375126764818217			0.3305	0.11900000000000001	0.5505
SRX2804049	21913815	15448365	32010	2037520	0	0	0	0	0	0	0	0	0	3382648	1003363	9909	70.49600902444419	21913815.0	19876295.0	90.7	2037520.0	9.3	SRX2804049_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21913815.0	0.0	20-100	52.0	18.162428397510446	96.03556824770128	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	21920219	8547347	21920219	2192021900	32430121	2111110247	3.6911881674174882			0.0001	0.1964	0.8034
SRX2804050	16022467	13424294	38108	495205	0	0	0	0	0	0	0	0	0	1273113	779717	12030	83.78418878940428	16022467.0	15527262.0	96.91	495205.0	3.09	SRX2804050_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16022467.0	0.0	20-100	52.0	20.421465254521912	96.39548479020115	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	16028836	5787454	16028836	1602883600	29263138	1549244697	3.3464003874018053			0.3033	0.2662	0.4305
SRX2804051	16852319	14231839	71773	538436	0	0	0	0	0	0	0	0	0	1247308	749385	13578	84.45032995162269	16852319.0	16313883.0	96.8	538436.0	3.2	SRX2804051_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16852319.0	0.0	20-100	52.0	21.003611847742285	95.80482484339396	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	16859423	6425628	16859423	1685942300	31757746	1619646436	3.932273601534288			0.3235	0.2554	0.4211
SRX2804052	17878992	14826839	51617	583704	0	0	0	0	0	0	0	0	0	1749559	660639	6634	82.92883066338416	17878992.0	17295288.0	96.74	583704.0	3.26	SRX2804052_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17878992.0	0.0	20-100	52.0	19.370637042984537	96.04676549997896	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	17887503	6410800	17887503	1788750300	36426769	1722501341	3.7036448854823387			0.0012	0.1736	0.8252
SRX2804053	16964971	12408161	1599483	598242	0	0	0	0	0	0	0	0	0	1805702	546512	6871	73.13988924590558	16964971.0	16366729.0	96.47	598242.0	3.53	SRX2804053_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16964971.0	0.0	20-100	52.0	20.407460996763746	95.85258624963168	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	16975548	6150629	16975548	1697554800	36028513	1631163711	3.910983551164298			0.0012	0.1909	0.8079999999999999
SRX2804054	16989753	14220819	65695	570059	0	0	0	0	0	0	0	0	0	1464066	661718	7396	83.70232928047866	16989753.0	16419694.0	96.64	570059.0	3.36	SRX2804054_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16989753.0	0.0	20-100	52.0	20.874313315062047	96.01719177435952	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	16998146	6160780	16998146	1699814600	34815760	1636363136	3.7328461586340063			0.0016	0.2229	0.7755
SRX2804055	16888446	13403999	31006	840600	0	0	0	0	0	0	0	0	0	1824600	781905	6336	79.36786487045642	16888446.0	16047846.0	95.02	840600.0	4.98	SRX2804055_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16888446.0	0.0	20-100	52.0	21.458359375571845	95.58948431371364	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	warn	16895064	6405588	16895064	1689506400	35519644	1619529720	4.141841664524029			0.0003	0.1875	0.8122
SRX2804056	21371717	16880632	27176	1081580	0	0	0	0	0	0	0	0	0	2409512	963655	9162	78.98584844633682	21371717.0	20290137.0	94.94	1081580.0	5.06	SRX2804056_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21371717.0	0.0	20-100	52.0	20.978357278109183	95.70758755602087	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	warn	21381516	8057421	21381516	2138151600	44658592	2051975710	4.030391951627752			0.0006	0.2328	0.7666
SRX2804057	20149898	15724620	47252	1041726	0	0	0	0	0	0	0	0	0	2400597	927060	8643	78.03821140930837	20149898.0	19108172.0	94.83	1041726.0	5.17	SRX2804057_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20149898.0	0.0	20-100	52.0	21.05624299341582	95.84181686676528	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	warn	20157151	7472222	20157151	2015715100	41709956	1937315029	3.889442064506041			0.0006	0.2388	0.7606
SRX2804058	16747392	14291247	63866	514470	0	0	0	0	0	0	0	0	0	1309901	561206	6702	85.33416426868136	16747392.0	16232922.0	96.93	514470.0	3.07	SRX2804058_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16747392.0	0.0	20-100	53.0	20.559007264549557	96.03620062156544	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	16758139	6009802	16758139	1675813900	34785304	1613291895	3.730844158769658			0.0007	0.2205	0.7788
SRX2804059	15357987	12664050	53279	592358	0	0	0	0	0	0	0	0	0	1506572	535119	6609	82.45904883237627	15357987.0	14765629.0	96.14	592358.0	3.86	SRX2804059_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15357987.0	0.0	20-100	52.0	22.022904212294986	95.88682032352287	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	warn	15366638	5623341	15366638	1536663800	31986719	1477222678	3.86819302960088			0.0006	0.2071	0.7923
SRX2993585	3895042	2561989	5735	248091	0	0	0	0	1794	0	0	0	0	561793	497202	18438	65.77564503797392	3895042.0	3646951.0	93.63	248091.0	6.37	SRX2993585_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3895042.0	0.0	20-76	44.0	19.25023036476672	75.11866675635333	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		3897216	431879	3897216	294138352	109364	293477564	0.22465210521067988	0.0323	0.6172	0.3505		
SRX2993586	3666119	1992022	4983	240177	0	0	0	0	6942	0	0	0	0	686105	722901	12989	54.33598854810769	3666119.0	3425942.0	93.45	240177.0	6.55	SRX2993586_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3666119.0	0.0	20-76	40.0	19.880825949281892	74.84316630202129	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		3707125	607295	3707125	278366082	848189	275257981	1.1165516206820054	0.0673	0.4789	0.4538		
SRX2993587	3944658	2108787	734	635917	0	0	0	0	1437	0	0	0	0	505304	680544	11935	53.45931130151207	3944658.0	3308741.0	83.88	635917.0	16.12	SRX2993587_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3944658.0	0.0	20-76	38.0	25.68805001081181	75.08711224141611	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		3948919	493133	3948919	297882542	171314	297098526	0.2631963574421223	0.0554	0.4368	0.5078		
SRX2993588	4844482	1037779	3104	1353641	0	0	0	0	7265	0	0	0	0	2219405	212487	10801	21.42187750929821	4844482.0	3490841.0	72.06	1353641.0	27.94	SRX2993588_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4844482.0	0.0	21-76	49.0	13.105383013933885	74.95925054525954	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass		4853363	625872	4853363	365646015	153507	364261730	0.3785861032835268	0.0798	0.5722	0.3481		
