Geneid,ERX339069,ERX339070,ERX339085,ERX339086,SRX3471973,SRX3471974,SRX3471975,SRX3471976,SRX3471977,SRX3471978,SRX4665670,SRX4665671,SRX4665672,SRX4665673,SRX4665674,SRX4665675,SRX4665676,SRX4665677,SRX4665678,SRX4665679,SRX4665680,SRX4665681,SRX4665682,SRX4665683,SRX4665684,SRX4665685,SRX4665686,SRX4665687,SRX4665688,SRX4665689,SRX4665690,SRX4665691,SRX4665692,SRX4665693,SRX4665694,SRX4665695,SRX4665696,SRX4665697,SRX4665698,SRX4665699,SRX4665700,SRX4665701,SRX4665702,SRX7268192,SRX7268193
STMMW_00101,0.0,0.0,6.307119946210188,0.0,3.0996271012190344,4.123825695892594,3.567832334081147,2.838952935879836,5.00980953460758,5.101834418852205,3.142456491833289,5.146256000218192,5.166994850536219,4.685996126638073,3.410601572646558,4.03682878952783,3.620472857857998,3.192484490561877,3.4925188640931175,3.264448383196003,2.8915478098311262,3.099652870925867,2.904546508538687,3.3536288741374767,3.6261281764937765,4.123806783698329,3.535984616237985,3.9737344890271884,2.3255731665547437,2.9501839969530548,3.216926933696976,4.846495129777409,3.8630387823795695,3.8962160526380063,3.5267851119822744,3.1803550563261056,2.826469804482903,2.6593539912109625,3.889732629522735,3.32186122454066,3.6425534901766423,2.1380876879904998,3.818621550698054,3.4480660313525244,3.298863011265407
STMMW_00111,8.62055327448321,8.72477450396507,11.20640965201731,9.713005971826453,8.252406889082472,6.8363354576358715,9.297677209299668,6.818011850598598,5.6038812667459075,7.712474046179374,7.022744195236582,10.558541382327027,10.029287552409743,9.693955181527432,7.4294085786801025,9.319334506767369,9.260440040062232,8.61042981665954,8.899809467951524,8.830091283205604,8.838198141402671,8.252435966391635,7.930040635514855,6.2419649895317875,9.265380987613645,6.836315570204411,8.003881601690916,11.311290166454107,6.903086239680798,8.925801036910743,9.684599979588695,8.344947082356184,8.86692205673905,10.76009087200045,8.810687473745807,8.630885510198215,7.068027608499518,7.87054051638862,7.874197262211659,9.514348156075428,7.870430193380248,7.495311583627876,9.564376759243945,9.079590626704418,9.50878146652402
STMMW_00121,6.963270420732111,7.159376576980453,8.259889997932957,4.2889332105207245,7.400533961752399,6.8017291971073455,7.891597306457722,6.635160968715743,7.585013969539913,6.736620143999035,6.584642990646872,8.459461536820234,8.187814604124293,7.9470218583094905,6.647526427410187,8.261940048251871,8.351585385880314,7.348548950625088,7.519863748538467,7.607712388253919,7.480101422239257,7.40056296206608,7.117197490328727,5.4093821902073955,7.806535551910069,6.8017093139383045,7.049341917974326,9.3282298036336,6.571161877022725,7.745670699874534,8.605099796857164,6.957924860752547,7.7486552828274515,8.96556132947822,7.610647271155341,7.565245121237809,6.61210546955255,6.900556775733596,7.096580383776183,8.24804077564433,6.702534236158062,6.462959009495221,8.066224372248609,7.925266410162413,8.427787745903757
STMMW_00131,0.0,0.0,5.104378243099435,0.0,3.758632339280093,4.946660659570478,4.728666367335836,4.461796732471555,6.201873779001228,6.193377513306588,4.223562421835232,4.733918464090959,5.055252885251597,4.642999415142784,3.8248108047602543,4.485500585866431,4.768049551888831,4.880634664443307,3.4112341130257224,3.0628374341416484,3.2061762788460144,3.758659356915627,4.843831592241049,4.227226639829644,5.411161423283841,4.946641247153742,4.317326022809306,4.8406444098736445,4.993527710090431,4.9661522323877,5.8766339735647035,4.443713870504324,4.866607001317376,4.330553748610492,4.553590267388795,4.534881805029472,3.9259186279171625,4.699823071106006,4.1076410363196,4.176939260031691,3.1749697950855467,3.047270459668861,1.9261301355439762,4.376055532931066,4.356305154500991
STMMW_00141,0.0,0.0,0.0,0.0,3.6629571724980132,3.567028307285807,3.781020552735537,4.716389859769338,3.930911726835807,5.5871321063701735,3.94903504855266,3.938777644282878,2.6531698323341733,3.6053384711101555,4.416629752276243,5.458581235571843,3.8343148905593507,4.199895248752012,3.039703908918394,3.855551618277016,2.864152848700602,3.662984042351822,2.8263782302938343,2.6810016281538465,3.1063280733442844,3.56700993712284,4.255400064073588,4.0481361068292046,5.439440534788475,4.525634510104953,4.955838371897635,0.0,4.473146622615731,4.387383511210862,3.179263308095149,2.519537252984087,2.907428830722743,3.0239718424841446,4.411646807582663,4.217834722652864,1.787489908739922,2.660957884963052,3.7891830817987424,3.40174765387117,2.8091905763195304
STMMW_00151,0.0,0.0,0.0,0.0,1.952853064708253,2.5043598240310985,2.1023586654367294,1.737280581111522,1.46144391154083,2.0269255993876327,0.8862639492372206,2.1269155950667167,2.803539195738025,1.9585851942768524,2.4286716295734414,1.971788848441465,0.0,1.9285840531891658,2.0395335551396236,1.9642320798363675,0.8572648249390757,1.9528747022168564,0.0,0.0,0.0,2.5043432970169244,1.299608011446724,0.0,5.342089393012408,2.0782627419553483,1.8568958755709868,2.6474034108369104,1.2450806682118531,3.52783525850244,1.9171232968436582,1.3387014317686037,1.4225013346813817,1.4480558091661253,2.998012446261475,0.8142533698609604,1.7554726517311539,1.6553530428820888,2.10911485782252,2.225231637573793,1.9348526981059988
STMMW_00161,0.0,0.0,0.0,0.0,2.7250493586574467,2.5070339876376186,3.1576366041945536,1.0860178471966033,2.3836883721758313,2.232273112238466,1.0146072935030037,2.3364245642089134,2.6178993868882596,0.0,1.4633815021048149,2.649022974035283,2.461820672295398,2.678346962128041,2.725226208633585,0.9050240374176173,1.5618042308343847,2.7250741194298764,1.7515404154042362,0.0,0.0,2.507017454075251,2.6493125441662704,2.3293356914781036,4.920364358733631,2.465279715040416,2.258392269500131,0.0,2.7587931711197746,4.7942352565306985,1.6263034731280697,1.2506050035646699,1.8182064096174315,0.0,2.6446743484736186,1.4978577736941272,2.7476304185568186,1.0245506052583417,2.317904785546485,2.142805932168877,0.5104176214335177
STMMW_00171,0.0,0.0,5.530897434893562,5.940467106733802,3.9637597161422886,3.5233911303877314,3.5716017894872443,4.543266496957975,4.381694138829008,5.024205420944185,2.7707777311659734,4.2138137788143615,3.8766754646785864,3.8839999924180666,4.518789960859759,4.813799844951389,3.4518229154673197,3.6673489988346466,3.9483996059165567,3.961114607213671,3.3036743148814423,3.9637870194421114,3.2107119400683324,2.7925502561728504,3.883205641977662,3.523372812210316,4.004734805592882,3.5927596733518454,6.11062180123108,4.681171457745682,3.894292418957485,2.9438392604958943,3.6437322559425462,4.346672123964154,4.008299981188162,3.5476627990671625,3.137292588880021,3.5295943055781747,4.984438464335895,3.7379269908864834,3.89708208574589,3.2687482259003495,5.026972016744455,5.128861172128573,4.374592234163652
STMMW_00181,4.061326581649885,5.781238079362026,0.0,3.9174725011555553,2.861427703788204,2.649478046380558,2.749029624024287,3.64134418266653,4.068759757541791,3.3667192447302012,1.3286261802676258,2.897392830863877,2.886481434819387,2.4596155997573836,2.8577877598707606,3.139305406479386,1.442417121304573,2.8681778002363245,2.548542424228342,2.3240572885510593,2.3360164922488633,2.8614528625409315,2.3314104634795636,2.6781546037086152,2.24001811484629,2.6494611809911572,1.9981705366083882,1.9935036327122158,5.88314993446738,2.861769591281877,2.941372829174804,2.248749642856552,1.7309778563448415,1.808425805680985,2.728516079249461,2.4036777032465997,2.175773971935023,2.322944528312037,3.937417431901662,2.6170329320131014,2.4637399812719125,1.84998652417641,1.982819725326169,3.601017278929398,3.593050872749604
STMMW_00191,0.0,0.0,0.0,0.0,3.6024695103311943,3.014457969318108,2.2456988872299304,3.4463081532283204,3.901939704477596,3.6607333003261124,1.5498247109817194,3.1131751615858896,3.420696818740426,3.7626637443641227,3.9438638097906433,3.300809034002114,2.9812346381208528,2.2710736395253903,2.181028928321784,2.103404377214389,2.8374269908475465,3.6024962815694495,3.2015562542261042,2.1801137882325095,3.229767064487537,3.014440389197456,2.4405263176406655,0.0,5.929166212903942,3.5585294862869103,3.9355427988486156,3.166152997747919,2.2118846144116677,3.0165804512025987,2.583782000432443,2.7637457834817045,1.950094545069791,2.7383524951748086,4.13283008630606,2.4842691153687295,2.92598078975998,2.4750421749492557,1.8116270419329419,3.645787609378001,3.9972904971830023
