	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
ERX1045667	43659934	22671054	368948	3437684	0	0	0	0	0	0	0	0	0	16019544	1072889	89815	51.926450461423066	43659934.0	40222250.0	92.13	3437684.0	7.87	ERX1045667_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43659934.0	0.0	20-51	53.0	16.90653010636618	49.7193775876986	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	44097882	15886374	44097882	2248991982	29026462	2173477123	3.3577202410853237	0.4132	0.0756	0.5112		
ERX1045668	15399919	6326991	475461	1392849	0	0	0	0	0	0	0	0	0	6908652	271920	24046	41.08457323704105	15399919.0	14007070.0	90.96	1392849.0	9.04	ERX1045668_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15399919.0	0.0	20-51	53.0	13.341755237709286	50.07129972566739	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail	15573637	6033589	15573637	794255487	5501431	772081433	2.7918036907436554	0.4758	0.0584	0.4658		
ERX1045669	27868330	12468669	399079	5663564	0	0	0	0	0	0	0	0	0	8873480	431079	32459	44.741356945321094	27868330.0	22204766.0	79.68	5663564.0	20.32	ERX1045669_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27868330.0	0.0	20-51	49.0	18.867825515763737	49.807023671673186	pass	pass	pass	fail	fail	warn	warn	fail	fail	pass	fail	28162175	12097599	28162175	1436270925	6921594	1390388237	3.1945705508172137	0.3918	0.0867	0.5216		
ERX1045670	24554912	14894396	236040	2459957	0	0	0	0	0	0	0	0	0	6520235	414539	29745	60.657501032787245	24554912.0	22094955.0	89.98	2459957.0	10.02	ERX1045670_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24554912.0	0.0	20-51	50.0	17.67034714489793	49.78763283696557	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail	25178034	9853207	25178034	1284079734	4966709	1226102141	4.5151084831310015	0.4011	0.0841	0.5149		
ERX1045671	25967982	13599326	292461	2271306	0	0	0	0	0	0	0	0	0	9096070	662124	46695	52.36959113727051	25967982.0	23696676.0	91.25	2271306.0	8.75	ERX1045671_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25967982.0	0.0	20-51	52.0	17.455068007447018	49.93240764723266	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	26275512	9391755	26275512	1340051112	12077982	1298515468	3.09955669810302	0.4145	0.0759	0.5095		
ERX1045673	52586925	30621959	648121	8501375	0	0	0	0	0	0	0	0	0	12168155	594726	52589	58.23112684379246	52586925.0	44085550.0	83.83	8501375.0	16.17	ERX1045673_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52586925.0	0.0	20-51	49.0	13.302164174180374	49.85210066951053	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail	53408228	22206772	53408228	2723819628	6719374	2628312035	3.5063846378890986	0.4179	0.0918	0.4903		
ERX1045674	24775565	12223741	508665	1968679	0	0	0	0	0	0	0	0	0	9469953	553990	50537	49.33788997344764	24775565.0	22806886.0	92.05	1968679.0	7.95	ERX1045674_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24775565.0	0.0	20-51	53.0	16.402090966060104	49.767941114561864	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	24999203	9131086	24999203	1274959353	16788231	1234371293	3.1834787442043257	0.4503	0.0644	0.4854		
ERX1045675	15258264	7839126	225682	3018593	0	0	0	0	0	0	0	0	0	3944701	213770	16392	51.37626403632811	15258264.0	12239671.0	80.22	3018593.0	19.78	ERX1045675_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15258264.0	0.0	20-51	49.0	17.05700412889423	50.150268077679094	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail	15366907	5868704	15366907	783712257	3391541	765909717	2.271565850985536	0.3855	0.0764	0.5381		
ERX1045676	22034942	10775900	448063	1499043	0	0	0	0	0	0	0	0	0	8851080	420841	40015	48.903691237308465	22034942.0	20535899.0	93.2	1499043.0	6.8	ERX1045676_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22034942.0	0.0	20-51	53.0	14.246929748668956	49.82494553423376	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	22143323	8153873	22143323	1129309473	14879833	1098651119	2.714787640854227	0.4663	0.0584	0.4753		
ERX1045677	29697997	16397868	193200	2249262	0	0	0	0	0	0	0	0	0	10069855	734639	53173	55.215400553781464	29697997.0	27448735.0	92.43	2249262.0	7.57	ERX1045677_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29697997.0	0.0	20-51	53.0	16.950935880354272	50.08369274870625	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail	29864448	10531173	29864448	1523086848	9944733	1488556751	2.2671128074766225	0.4127	0.078	0.5093		
