	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX2508574	63681019	49112067	299330	9393580	0	0	0	0	2109	0	0	0	0	1980560	2716345	177028	77.1219866943398	63681019.0	54287439.0	85.25	9393580.0	14.75	SRX2508574_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	63681019.0	0.0	20-151	52.0	10.68820020784471	140.08066898238548	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	63681481	36218793	63681481	9615903631	114863373	8941545671	7.012944241932575			0.647	0.1818	0.1713
SRX2508575	62704565	53100534	359003	4510666	0	0	0	0	2721	0	0	0	0	2146180	2407586	177875	84.68368132368032	62704565.0	58193899.0	92.81	4510666.0	7.19	SRX2508575_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62704565.0	0.0	20-151	52.0	11.412026447646054	139.66929908532177	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	pass	62705135	36135963	62705135	9468475385	176372446	8735168758	7.744717044538213			0.5527	0.228	0.2192
SRX271894	53583750	1140742	33	7813453	0	0	0	0	0	0	0	0	0	44508676	117288	3558	2.128895420719901	53583750.0	45770297.0	85.42	7813453.0	14.58	SRX271894_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53583750.0	0.0	18-50	56.0	16.758782213015795	42.12508460120839	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	fail	55110169	31896629	55110169	2755508450	49098997	2279271654	17.28308240172517	0.0299	0.3232	0.6469		
SRX271895	71879523	2176691	30	7270661	0	0	0	0	0	0	0	0	0	62279308	150298	2535	3.028249088408669	71879523.0	64608862.0	89.88	7270661.0	10.12	SRX271895_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	71879523.0	0.0	18-51	56.0	8.056311361384196	43.12535609063516	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	fail	74378319	43452824	74378319	3793294269	61842449	3135614109	17.337968355757955	0.0632	0.4812	0.4556		
SRX271896	60482861	1460279	21	5381567	0	0	0	0	0	0	0	0	0	53509198	127738	4058	2.4143682621098232	60482861.0	55101294.0	91.1	5381567.0	8.9	SRX271896_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60482861.0	0.0	18-51	56.0	7.361878897184807	42.917841055832326	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail	61425808	36896503	61425808	3132716208	50880552	2609701150	16.69525814896285	0.0462	0.4613	0.4925		
SRX271897	82414767	555600	60	13119395	0	0	0	0	0	0	0	0	0	68607813	128578	3321	0.6741510292688203	82414767.0	69295372.0	84.08	13119395.0	15.92	SRX271897_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	82414767.0	0.0	18-50	57.0	14.74110307510347	40.545896040693776	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail	85466251	55276949	85466251	4273312550	83396873	3385866051	20.76717976081576	0.0148	0.2207	0.7645		
SRX271898	60021646	635846	30	6025882	0	0	0	0	0	0	0	0	0	53250460	105597	3831	1.0593611511420398	60021646.0	53995764.0	89.96	6025882.0	10.04	SRX271898_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60021646.0	0.0	18-51	58.0	6.560801047145034	40.630740199960535	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail	61642012	42461890	61642012	3143742612	53146274	2462790999	21.660539587456533	0.0167	0.4366	0.5467		
SRX271899	62240529	978256	31	4603788	0	0	0	0	0	0	0	0	0	56504479	151375	2600	1.5717347132444843	62240529.0	57636741.0	92.6	4603788.0	7.4	SRX271899_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62240529.0	0.0	18-51	57.0	6.018597175127669	40.68576094525161	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail	63478483	43702539	63478483	3237402633	48454146	2550593281	21.214826509347557	0.0191	0.4386	0.5423		
SRX271900	46337104	580725	22	6331432	0	0	0	0	0	0	0	0	0	39325037	97535	2353	1.2532613173235858	46337104.0	40005672.0	86.34	6331432.0	13.66	SRX271900_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46337104.0	0.0	18-50	57.0	19.99040895953218	40.996569919432176	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail	47706186	30082207	47706186	2385309300	42768578	1919646371	19.52211937462366	0.0417	0.2665	0.6918		
SRX271901	58329713	790024	25	5749845	0	0	0	0	0	0	0	0	0	51642247	144969	2603	1.3544109157540345	58329713.0	52579868.0	90.14	5749845.0	9.86	SRX271901_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58329713.0	0.0	18-51	57.0	7.36107742703568	42.054953639151286	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail	60061944	37333018	60061944	3063159144	48643922	2478371085	19.09101132226384	0.0261	0.4516	0.5223		
SRX271902	75355539	1172038	31	6739875	0	0	0	0	0	0	0	0	0	67259422	179161	5012	1.5553441930791576	75355539.0	68615664.0	91.06	6739875.0	8.94	SRX271902_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75355539.0	0.0	18-51	58.0	5.1816637761060615	41.40514817364653	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail	76509103	51161993	76509103	3901964253	62698489	3137239730	19.598450252639974	0.0139	0.4384	0.5477		
SRX2949967	11844821	7897202	9444	887754	0	0	0	0	14749	0	0	0	0	2560842	308620	166210	66.67219369545559	11844821.0	10957067.0	92.51	887754.0	7.49	SRX2949967_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11844821.0	0.0	20-76	53.0	28.638303969502893	75.00221590516227	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		11961616	3389564	11961616	909082816	1747814	897309201	1.2951091795799603			0.5644	0.1225	0.313
SRX2949968	11935449	8030974	9224	945133	0	0	0	0	12308	0	0	0	0	2453985	316645	167180	67.2867355053002	11935449.0	10990316.0	92.08	945133.0	7.92	SRX2949968_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11935449.0	0.0	20-76	53.0	26.786083938724627	75.16447651026786	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		12041017	3411607	12041017	915117292	1740915	904583923	1.1510403193211651			0.5576	0.1207	0.3218
SRX2949969	13714944	8305595	8681	1491851	0	0	0	0	16129	0	0	0	0	3435336	323582	133770	60.55872338961064	13714944.0	12223093.0	89.12	1491851.0	10.88	SRX2949969_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13714944.0	0.0	20-76	53.0	28.304416285542104	75.13861347155337	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		13805557	3914657	13805557	1049222332	2093436	1038997579	0.97450775571178			0.4929	0.1494	0.3576
SRX2949970	12366380	7612858	9231	1188818	0	0	0	0	16270	0	0	0	0	3116388	286520	136295	61.56092567105328	12366380.0	11177562.0	90.39	1188818.0	9.61	SRX2949970_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12366380.0	0.0	20-76	53.0	30.54098944253616	74.98091680831415	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		12468693	3565725	12468693	947620668	7910938	933519120	1.4881005106992875			0.4998	0.1476	0.3526
SRX3139264	12329413	4025012	323459	5558557	0	0	0	0	12430	0	0	0	0	2213680	151991	44284	32.645609324628836	12329413.0	6770856.0	54.92	5558557.0	45.08	SRX3139264_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12329413.0	0.0	20-76	54.0	21.899825328834645	75.07053482594833	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		12452374	3434149	12452374	946380424	7147179	929811632	1.7507538807670855			0.5262	0.0928	0.381
SRX3139265	17020473	5311758	371915	8239185	0	0	0	0	28536	0	0	0	0	2778124	238012	52943	31.208051621127094	17020473.0	8781288.0	51.59	8239185.0	48.41	SRX3139265_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17020473.0	0.0	20-76	53.0	27.311129778076182	74.93963252372599	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		17330961	5592103	17330961	1317153036	2676925	1288159858	2.201200407816545			0.5489999999999999	0.0845	0.3666
SRX3139266	14760286	4531638	630991	7209616	0	0	0	0	22160	0	0	0	0	2176616	158213	31052	30.701559576826625	14760286.0	7550670.0	51.16	7209616.0	48.84	SRX3139266_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14760286.0	0.0	20-76	54.0	21.87210585149089	74.96195493772953	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass		14958616	4153848	14958616	1136854816	6983822	1112859339	2.110689655555807			0.4574	0.095	0.4476
SRX3139267	17180534	5036860	517355	8043445	0	0	0	0	30959	0	0	0	0	3324483	181306	46126	29.317249393994388	17180534.0	9137089.0	53.18	8043445.0	46.82	SRX3139267_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17180534.0	0.0	20-76	54.0	19.25634031937925	74.99635191781583	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass		17429521	4886210	17429521	1324643596	8995779	1295633338	2.1900425206902217			0.4626	0.1128	0.4246
SRX3456060	17559244	8249859	1135395	6811111	0	0	0	0	6	0	0	0	0	956272	391952	14649	46.98299653447496	17559244.0	10748133.0	61.21	6811111.0	38.79	SRX3456060_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17559244.0	0.0	20-100	51.0	12.2996438913325	97.75065008493532	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	17561892	5536974	17561892	1756189200	27278622	1721373504	1.9824570154514105			0.4868	0.0791	0.4341
SRX3456061	12179224	8754774	15938	1185951	0	0	0	0	2598	0	0	0	0	1753728	380096	86139	71.88285559079955	12179224.0	10993273.0	90.26	1185951.0	9.74	SRX3456061_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12179224.0	0.0	20-100	52.0	20.614857362260512	96.209007240527	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail	12183841	3662703	12183841	1218384100	38000237	1175447676	3.5240466450604533			0.3125	0.1223	0.5652
SRX3456062	17548988	10504362	182732	2876704	0	0	0	0	1532	0	0	0	0	3464901	463548	55209	59.857366134161126	17548988.0	14672284.0	83.61	2876704.0	16.39	SRX3456062_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17548988.0	0.0	20-100	52.0	12.493926896038287	97.8401304964138	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	17553627	5195542	17553627	1755362700	54124265	1694118697	3.4889657277097204			0.261	0.098	0.6409999999999999
SRX3456063	9262274	3681567	117336	2775395	0	0	0	0	623	0	0	0	0	2491325	175871	20157	39.747981975052774	9262274.0	6486879.0	70.04	2775395.0	29.96	SRX3456063_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9262274.0	0.0	20-100	52.0	16.504778823608838	96.1590959196413	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	9266717	2784465	9266717	926671700	10837866	911793292	1.6055748761940178			0.3044	0.1248	0.5708
SRX3456064	14079160	1878209	569060	5678331	0	0	0	0	1186	0	0	0	0	5859804	82957	9613	13.34034842987792	14079160.0	8400829.0	59.67	5678331.0	40.33	SRX3456064_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14079160.0	0.0	20-100	53.0	8.700967837391001	96.3775162722776	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	14082818	3868517	14082818	1408281800	41254256	1361813951	3.2996129751872108			0.4027	0.0997	0.4976
SRX3456065	9628831	6911082	19391	848807	0	0	0	0	441	0	0	0	0	1466728	327077	55305	71.77488108369542	9628831.0	8780024.0	91.18	848807.0	8.82	SRX3456065_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9628831.0	0.0	20-100	52.0	23.284686179179808	98.32772867235909	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	9633578	2800341	9633578	963357800	9714562	949746794	1.412871313233775			0.4773	0.1234	0.3993
SRX3456066	11645785	8153302	49793	1288790	0	0	0	0	662	0	0	0	0	1719402	383709	50127	70.01075496413509	11645785.0	10356995.0	88.93	1288790.0	11.07	SRX3456066_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11645785.0	0.0	20-100	52.0	20.03043981993588	97.36064438764757	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	11649719	3582333	11649719	1164971900	32810446	1126912864	3.2669488422853803			0.3112	0.121	0.5679
SRX3456067	18263636	9920266	201113	3707095	0	0	0	0	1878	0	0	0	0	3929557	409387	94340	54.31703741795992	18263636.0	14556541.0	79.7	3707095.0	20.3	SRX3456067_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18263636.0	0.0	20-100	53.0	11.034929122185178	98.2107926373478	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	warn	18266307	5452367	18266307	1826630700	21587175	1797561034	1.5914364080270849			0.2827	0.0846	0.6326
SRX3456068	10923264	4010509	177163	3558691	0	0	0	0	544	0	0	0	0	2962249	186433	27675	36.715298650659726	10923264.0	7364573.0	67.42	3558691.0	32.58	SRX3456068_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10923264.0	0.0	20-100	52.0	11.937930328109655	98.14268482387682	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	pass	10928224	3348344	10928224	1092822400	34090787	1054089939	3.544259433188778			0.3175	0.1187	0.5638
SRX3456069	10356908	2704504	72747	4060564	0	0	0	0	40	0	0	0	0	3360587	145490	12976	26.11304454958951	10356908.0	6296344.0	60.79	4060564.0	39.21	SRX3456069_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10356908.0	0.0	20-100	51.0	9.92723192056844	97.94062668124502	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	10362164	3355750	10362164	1036216400	32682004	998763076	3.6144307308782224			0.4352	0.1122	0.4526
SRX3456070	14463857	10424990	40136	1384770	0	0	0	0	869	0	0	0	0	2040933	507347	64812	72.07614123950479	14463857.0	13079087.0	90.43	1384770.0	9.57	SRX3456070_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14463857.0	0.0	20-100	52.0	21.54291927036881	96.2555471891073	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	fail	14468962	4353982	14468962	1446896200	44211467	1396614167	3.4751651846207072			0.4793	0.1086	0.4121
SRX3456071	16848195	12015707	6168	1693087	0	0	0	0	1490	0	0	0	0	2505654	536650	89439	71.31747347416147	16848195.0	15155108.0	89.95	1693087.0	10.05	SRX3456071_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16848195.0	0.0	20-100	52.0	14.88709237458391	98.29171860843252	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	16856369	5082932	16856369	1685636900	59017563	1619459179	3.92597723744657			0.2908	0.1245	0.5848
SRX3456072	10019118	6512226	2525	1258793	0	0	0	0	168	0	0	0	0	1910609	297631	37166	64.99799682966105	10019118.0	8760325.0	87.44	1258793.0	12.56	SRX3456072_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10019118.0	0.0	20-100	52.0	14.921982323025091	98.23242704597351	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	10023846	2965614	10023846	1002384600	10755743	987292265	1.505643143360343			0.2441	0.1358	0.6201
SRX3456073	9194586	3935521	76823	2438918	0	0	0	0	231	0	0	0	0	2538071	178695	26327	42.8025905679712	9194586.0	6755668.0	73.47	2438918.0	26.53	SRX3456073_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9194586.0	0.0	20-100	52.0	12.215523241638387	98.21435766656595	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	9199227	2741989	9199227	919922700	10062818	905920006	1.522159851039658			0.2825	0.1255	0.5920000000000001
SRX3456074	7319396	1452483	198741	3072013	0	0	0	0	275	0	0	0	0	2511643	76799	7442	19.84430136038548	7319396.0	4247383.0	58.03	3072013.0	41.97	SRX3456074_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7319396.0	0.0	20-100	52.0	10.985279573033967	98.23380016602462	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	7324230	2189763	7324230	732423000	23434642	705817269	3.6325635595823726			0.3943	0.1273	0.4784
SRX3456075	10223265	7266385	48245	1146265	0	0	0	0	1336	0	0	0	0	1363479	346452	51103	71.0769504654335	10223265.0	9077000.0	88.79	1146265.0	11.21	SRX3456075_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10223265.0	0.0	20-100	52.0	26.189160518000985	95.5884999557382	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	warn	10228108	3019640	10228108	1022810800	10437816	1008108957	1.4373961440375873			0.4882	0.0997	0.4121
SRX3456076	11811119	7479287	76151	1715184	0	0	0	0	632	0	0	0	0	2139765	354217	45883	63.324118569967844	11811119.0	10095935.0	85.48	1715184.0	14.52	SRX3456076_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11811119.0	0.0	20-100	52.0	22.12594157502668	97.18818157703771	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	11815668	4178524	11815668	1181566800	34625652	1141136682	3.421737814569604			0.2988	0.1493	0.5519
SRX3456077	11570137	5587038	197807	2878959	0	0	0	0	633	0	0	0	0	2590415	279614	35671	48.288434268323705	11570137.0	8691178.0	75.12	2878959.0	24.88	SRX3456077_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11570137.0	0.0	20-100	52.0	17.395277195805313	97.19541471289406	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	warn	11574434	4157832	11574434	1157443400	30250738	1121435171	3.1110142405235535			0.2499	0.1566	0.5934
SRX3456078	14760967	5951409	22178	4260229	0	0	0	0	40	0	0	0	0	4189224	306039	31848	40.318557720507066	14760967.0	10500738.0	71.14	4260229.0	28.86	SRX3456078_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14760967.0	0.0	20-100	52.0	10.490366540817755	98.01012562388357	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	14768520	4728136	14768520	1476852000	47672584	1422700394	3.6666914491093214			0.3137	0.1212	0.5651
SRX3456079	12964822	3402384	12521	4421810	0	0	0	0	69	0	0	0	0	4900599	214425	13014	26.243198711096845	12964822.0	8543012.0	65.89	4421810.0	34.11	SRX3456079_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12964822.0	0.0	20-100	52.0	11.27160848580568	95.95077371675444	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	12973162	3552932	12973162	1297316200	17955071	1274536740	1.7558911235364207			0.4293	0.1207	0.4501
SRX3456080	12073437	7969268	57391	1621436	0	0	0	0	653	0	0	0	0	1992916	390967	40806	66.00662263777912	12073437.0	10452001.0	86.57	1621436.0	13.43	SRX3456080_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12073437.0	0.0	20-100	52.0	24.35328803404988	97.47044640229622	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	12077941	3614770	12077941	1207794100	36020474	1166862746	3.3889347530344778			0.7288	0.0692	0.2021
SRX3456082	16633531	8567437	35183	3984245	0	0	0	0	149	0	0	0	0	3628499	374130	43888	51.507025177035466	16633531.0	12649286.0	76.05	3984245.0	23.95	SRX3456082_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16633531.0	0.0	20-100	51.0	14.147918118367615	98.07843746466101	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	16642918	5754209	16642918	1664291800	19445220	1637357310	1.6183754555541283			0.6938	0.0737	0.2325
SRX3456083	12653198	3584885	39800	4853511	0	0	0	0	29	0	0	0	0	3925196	232522	17255	28.331849387008724	12653198.0	7799687.0	61.64	4853511.0	38.36	SRX3456083_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12653198.0	0.0	20-100	51.0	16.07139576503644	95.824049856803	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	12659960	3790880	12659960	1265996000	16752183	1243978734	1.7391260319937822			0.6055	0.1111	0.2834
SRX3456084	12983951	3409392	24986	4816510	0	0	0	0	34	0	0	0	0	4559913	155315	17801	26.25850944754798	12983951.0	8167441.0	62.9	4816510.0	37.1	SRX3456084_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12983951.0	0.0	20-100	51.0	13.2916280402404	95.9451391953035	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	warn	12991420	4621706	12991420	1299142000	42786101	1250229859	3.764957256404612			0.5901	0.0661	0.3438
SRX3456085	11599557	8771194	3304	920065	0	0	0	0	689	0	0	0	0	1446475	409874	47956	75.61662915230298	11599557.0	10679492.0	92.07	920065.0	7.93	SRX3456085_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11599557.0	0.0	20-100	52.0	22.668704564234034	98.05047347928893	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail	11603369	3496411	11603369	1160336900	32640797	1122922754	3.2244209418833445			0.6999	0.0666	0.2335
SRX3456086	17378942	11482699	53553	2441592	0	0	0	0	814	0	0	0	0	2867486	471181	61617	66.07248588550442	17378942.0	14937350.0	85.95	2441592.0	14.05	SRX3456086_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17378942.0	0.0	20-100	51.0	20.482589036944145	95.53042768656458	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	17388647	6054361	17388647	1738864700	64399125	1666160756	4.181115644017616			0.6457	0.0631	0.2912
SRX3456087	16397140	7704152	135891	4543548	0	0	0	0	351	0	0	0	0	3646609	326907	39682	46.98473026393627	16397140.0	11853592.0	72.29	4543548.0	27.71	SRX3456087_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16397140.0	0.0	20-100	51.0	15.485134928511146	97.26574780723958	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	warn	16403352	5770815	16403352	1640335200	43744834	1588677816	3.1491968226981903			0.6385	0.0831	0.2784
SRX3456088	12397532	598496	475755	6014517	0	0	0	0	262	0	0	0	0	5280507	25236	2759	4.827541481643282	12397532.0	6383015.0	51.49	6014517.0	48.51	SRX3456088_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12397532.0	0.0	20-100	53.0	8.281124978493844	97.44013663364612	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	12400824	3315254	12400824	1240082400	28627733	1206925955	2.6737291812221518			0.5626	0.0581	0.3793
SRX3456089	13712950	5087246	19520	899366	0	0	0	0	12	0	0	0	0	7404938	281790	20078	37.09811528518664	13712950.0	12813584.0	93.44	899366.0	6.56	SRX3456089_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13712950.0	0.0	20-100	54.0	13.549797529515988	97.6156818190105	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	13718612	3600994	13718612	1371861200	24229207	1342735767	2.123059752692182			0.5533	0.0927	0.354
SRX3456090	18297285	3170125	36913	14168865	0	0	0	0	3	0	0	0	0	769239	146453	5687	17.325657877657804	18297285.0	4128420.0	22.56	14168865.0	77.44	SRX3456090_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18297285.0	0.0	20-100	49.0	10.069106594483655	97.98188430687941	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	pass	18299856	5805295	18299856	1829985600	47040973	1775162853	2.9958020981148707			0.63	0.0771	0.2929
SRX3456091	17805477	11874774	7091	1788877	0	0	0	0	110	0	0	0	0	3573439	517351	43835	66.6916926741137	17805477.0	16016600.0	89.95	1788877.0	10.05	SRX3456091_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17805477.0	0.0	20-100	52.0	17.20569994756849	97.84265178630147	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	pass	17811083	6302847	17811083	1781108300	56399200	1716138954	3.647692057804683			0.3227	0.1087	0.5686
SRX3456092	10078015	5480006	22440	1407486	0	0	0	0	130	0	0	0	0	2891892	258680	17381	54.37584683094836	10078015.0	8670529.0	86.03	1407486.0	13.97	SRX3456092_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10078015.0	0.0	20-100	51.0	17.26465529740002	96.50930446124559	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	warn	10081290	3611310	10081290	1008129000	27117163	976089001	3.1781645999668693			0.1431	0.1215	0.7354
SRX3456093	10191615	3714093	57973	1914498	0	0	0	0	21	0	0	0	0	4229664	268516	6850	36.44263445979857	10191615.0	8277117.0	81.21	1914498.0	18.79	SRX3456093_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10191615.0	0.0	20-100	52.0	15.43061503605192	97.3797403061242	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	pass	10195060	2824088	10195060	1019506000	20021708	995570710	2.3477340986713173			0.1741	0.1542	0.6717
SRX3456094	13318504	3356823	1660430	2771940	0	0	0	0	104	0	0	0	0	5286356	235993	6858	25.204204616374327	13318504.0	10546564.0	79.19	2771940.0	20.81	SRX3456094_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13318504.0	0.0	20-100	52.0	11.134076214378576	96.58005989261257	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	13323021	4820418	13323021	1332302100	35030757	1290893564	3.1080440389608333			0.2877	0.1188	0.5936
SRX3456095	11117385	7079013	275461	1281666	0	0	0	0	132	0	0	0	0	2138022	314845	28246	63.67516281931408	11117385.0	9835719.0	88.47	1281666.0	11.53	SRX3456095_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11117385.0	0.0	20-100	51.0	19.863534802744297	96.36239025634177	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail	11121826	3931695	11121826	1112182600	21174768	1085887489	2.364280020205315			0.3235	0.1024	0.5742
SRX3456096	12083836	6651713	24179	1752211	0	0	0	0	114	0	0	0	0	3330595	304913	20111	55.04636938137857	12083836.0	10331625.0	85.5	1752211.0	14.5	SRX3456096_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12083836.0	0.0	20-100	52.0	17.802598847409183	97.37573350052088	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	warn	12088581	4332074	12088581	1208858100	34321089	1168602433	3.330057266440122			0.1408	0.1213	0.7379
SRX3456097	12315757	3371571	110940	4154683	0	0	0	0	57	0	0	0	0	4492379	178599	7528	27.37607603008081	12315757.0	8161074.0	66.27	4154683.0	33.73	SRX3456097_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12315757.0	0.0	20-100	52.0	12.32437030560415	97.57931355742079	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail	12320302	3717611	12320302	1232030200	20818541	1205565129	2.148086223860421			0.18899999999999997	0.1082	0.7027
